LangID,CountryID,LangStatus,Name_lang,Name_country,Area,Print_Name,language (local),SIL code,Eth_Language Status,end_class,L1,L2,wikiname,articles,adjusted WP size,WP size in chars,WP_incubator_new,avg good page length,real/ total ratio,MS-if-pack,MS-pack,MAC-input,MAC-supp,hunspell status,hunspell coverage,cru1_ISO-639-3,cru1_Characters,cru2_Characters,cru1_Words,cru2_Words,cru1_Docs,cru2_Docs,cru1_UDHR,cru2_UDHR,cru1_FLOSS SplChk,cru2_FLOSS SplChk,cru1_WT,cru2_WT,TLDs(%),la_Primary texts_Online
aae,IT,L,"Albanian, Arbëreshë",Italy,Europe,Arbëreshë Albanian,0,0,6.5,5,100000,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,aae,1409,0,259,0,1,0,0,0,0,0,0,0,0,0
fur,IT,L,Friulian,Italy,Europe,Friulian,Furlan,fur,5.0,5,300000,0,fur,3005,1587449.0,2651256,0,2470.0,0.19,0.0,0,0,0,myspell,0.79,fur,112024108,0,19044249,0,8926,0,1,1,1,1,0,0,37.20 o 20.59 it 15.89 c,0
ita,IT,L,Italian,Italy,Europe,Italian,Italiano,ita,1.0,0,61068677,0,it,925588,1429839734.0,1970376775,0,5402.0,0.3,0.0,1,1,1,aff-dic,0.8,ita,47899709,0,7230977,0,1212,0,1,1,1,1,1,1,27.57 o 24.86 it 23.21 c,22
lij,IT,L,Ligurian,Italy,Europe,Ligurian,Líguru,lij,5.0,0,505100,0,lij,2898,541167.0,1316050,0,2840.0,0.07,0.0,0,0,0,not found,0.0,lij,1055103,0,182311,0,40,0,0,0,0,0,0,0,32.46 o 15.15 it 14.52 c,0
lld,IT,L,Ladin,Italy,Europe,Ladin,0,0,6.5,6,20000,0,0,117,185741.0,222896,1,6404.86206897,0.247863247863,0.0,0,0,0,0,0.0,lld,4713798,0,737304,0,399,0,0,0,0,0,1,1,0,0
lmo,IT,L,Lombard,Italy,Europe,Lombard,Lumbaart,lmo,5.0,0,3903000,0,lmo,24488,2794886.0,9586788,0,2967.0,0.04,0.0,0,0,0,not found,0.0,lmo,1828255,0,321039,0,140,0,0,0,0,0,0,0,45.89 de 18.97 ch 18.10 it,0
nap,IT,L,Napoletano-Calabrese,Italy,Europe,Neapolitan,Nnapulitano,nap,5.0,0,5700000,0,nap,13536,2298917.0,4326699,0,5334.0,0.03,0.0,0,0,0,not found,0.0,nap,768788,0,125996,0,42,0,0,0,0,0,0,0,47.02 it 38.31 o 5.54 n,0
pms,IT,L,Piedmontese,Italy,Europe,Piedmontese,Piemontèis,pms,5.0,5,1600000,0,pms,50247,1900052.0,15501215,0,5854.0,0.01,0.0,0,0,0,not found,0.0,pms,9068941,0,1559721,0,2,0,0,0,0,0,0,0,81.75 o 13.59 it 1.76 fr,0
scn,IT,L,Sicilian,Italy,Europe,Sicilian,Sicilianu,scn,5.0,0,4700000,0,scn,17869,4242556.0,10127955,0,3005.0,0.08,0.0,0,0,0,not found,0.0,scn,6305766,0,965453,0,551,0,0,0,0,0,0,0,36.15 it 28.38 o 21.09 c,0
vec,IT,L,Venetian,Italy,Europe,Venetian,Vèneto,vec,4.0,0,3852500,0,vec,9425,4028796.0,7384911,0,3526.0,0.13,0.0,0,0,0,not found,0.0,vec,9582885,0,1642090,0,1143,0,0,0,0,0,0,0,40.49 o 27.16 it 13.06 c,0
ell,GR,L,Greek,Greece,Europe,Modern Greek (1453-),Ελληνικά,ell,1.0,0,13068650,0,el,73360,152275234.0,190782613,0,4224.0,0.5,0.0,1,1,0,aff-dic,0.82,ell,1017875878,0,145760247,0,64612,0,1,1,1,1,1,1,34.23 o 22.76 gr 20.3 c,6
grc,GR,L,"Greek, Ancient",Greece,Europe,Ancient Greek (to 1453),0,0,10.0,0,0,0,0,1146,56150.0,360454,1,2807.5,0.0174520069808,0.0,0,0,0,0,0.0,grc,3265351,0,519377,0,33,0,0,0,1,1,0,0,0,1
pnt,GR,L,Pontic,Greece,Europe,Pontic,Ποντιακά,pnt,6.0,6,1178000,0,pnt,340,61354.0,206435,0,1741.0,0.11,0.0,0,0,0,not found,0.0,pnt,472771,0,69780,0,78,0,0,0,0,0,0,0,55.27 o 12.91 c 6.77 gr,0
ady,RU,L,Adyghe,Russian Federation,Europe,Adyghe,0,0,2.0,0,491800,0,0,146,80748.0,124484,1,6211.38461538,0.0890410958904,0.0,0,0,0,0,0.0,ady,52919,44481,6590,5793,18,2,0,0,0,0,1,1,0,22
alr,RU,L,Alutor,Russian Federation,Europe,Alutor,0,0,8.5,9,25,0,0,2,0.0,44,1,0.0,0.0,0.0,0,0,0,0,0.0,alr,2590,0,289,0,1,0,0,0,0,0,0,0,0,0
alt,RU,L,"Altai, Southern",Russian Federation,Europe,Altay,0,0,2.0,6,57400,0,0,48,21537.0,25811,1,3076.71428571,0.145833333333,0.0,0,0,0,0,0.0,alt,50075,0,6666,0,16,0,0,0,0,0,1,1,0,0
ava,RU,L,Avar,Russian Federation,Europe,Avaric,Авар,ava,4.0,0,761960,0,av,1019,244652.0,438679,0,2930.0,0.08,0.0,0,0,0,not found,0.0,ava,8536,1395565,1059,179049,2,3,0,0,0,0,1,1,52.57 o 26.46 ru 5.67 c,1
