ID	FLOAT	FLOAT	X	BOOL	FLOAT	BOOL_HUN	X	X	FLOAT	BOOL	FLOAT	X	X	X	NOMINAL	FLOAT	X	FLOAT	FLOAT	X	BOOL	X	BOOL	FLOAT	BOOL	X	BOOL	X	X	X	X	BOOL	X	FLOAT	X	FLOAT	BOOL	FLOAT	FLOAT	X	X	FLOAT	NOMINAL	FLOAT	X	FLOAT	FLOAT	X	X	X	X	X	X	FLOAT	X	X	X	BOOL	BOOL	X	BOOL	BOOL	X	X	X	FLOAT	X	FLOAT	X	FLOAT	FLOAT	BOOL	X	X	FLOAT	X	X	X	NOMINAL	FLOAT	FLOAT	BOOL_TLD	X	FLOAT	FLOAT	BOOL	FLOAT	X	INT	FLOAT	X
	LOG	LOG			LOG				LOG		LOG					LOG		LOG	LOG					LOG										LOG		LOG		LOG	LOG			LOG		LOG			LOG							LOG												LOG				LOG	LOG				LOG					LOG	LOG			LOG	LOG		LOG				
unique_join_code	la_Other resources in the language_All	la_Other resources about the language_Online	Comments	MS-if-pack	la_Other resources in the language_Online	hunspell status	cru2_Alternate names	character entropy*	la_Resources in the language_Online	cru1_UDHR	la_Lexical resources_Online	cru2_Polluters	cru2_SIL	cru2_Updated	sample_result	articles	cru2_Code	la_Language descriptions_Online	adjusted WP size	cru2_Contact(s)	cru2_FLOSS SplChk	cru2_ISO-639-3	MAC-input	la_Primary texts_Online	WP_incubator	cru2_Classification	cru2_WT	cru2_WP	Print_Name	cru1_WP	cru1_SIL	cru1_WT	cru1_Contact(s)	avg good page length	language (local)	cru1_Words	WP_incubator_new	cru2_Docs	WP size in chars	TLD backup	language	cru2_Words	Seed	la_Resources in the language_All	cru1_Alternate names	Eth_Language Status	la_Lexical resources_All	cru2_Close to	cru1_ISO-639-3	Inverted_Name	cru1_Updated	cru1_Code	cru1_Country	la_Resources about the language_Online	cru1_Close to	cru1_Classification	cru2_Name (English)	MAC-supp	cru2_UDHR	Code	cru1_FLOSS SplChk	cru2_MS-input	resource links	row num	wikiname	la_Resources about the language_All	cru1_Name (Native)	hunspell coverage	SIL code	la_Language descriptions_All	cru1_Characters	in_omni	cru1_Polluters	Comments2	la_Primary texts_All	cru2_Name (Native)	oldL2	oldL1	status	cru2_Characters	cru1_Docs	TLDs(%)	cru1_Name (English)	L2	L1	MS-pack	la_Other resources about the language_All	cru2_Country	end_class	real/ total ratio	Id
xxe-nik-mil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Milo	0	m	0	0	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
xtw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Tawandê	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	8.0	0	0	0	Tawandê	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	xtw
xtv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Thawa	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	10.0	0	0	0	Thawa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	xtv
xtu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Cuyamecalco Mixtec	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.5	0	0	0	Mixtec, Cuyamecalco	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1880	0	0	0	0	0	xtu
xtt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Tacahua Mixtec	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.5	0	0	0	Mixtec, Tacahua	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	xtt
xts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Mixtec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.5	0	0	0	Mixtec, Sindihui	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	7	0	xts
xtr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Early Tripuri	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7.7	0	0	0	Tripuri, Early	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	xtr
xtq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Tumshuqese	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7.7	0	0	0	Tumshuqese	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	xtq
xtp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	San Miguel Piedras Mixtec	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	8.0	0	0	0	Mixtec, San Miguel Piedras	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0	xtp
xtz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Tasmanian	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7.7	0	0	0	Tasmanian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	xtz
xty	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Yoloxochitl Mixtec	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.5	0	0	0	Mixtec, Yoloxochitl	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10600	0	0	0	5	0	xty
xtg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Transalpine Gaulish	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7.7	0	0	0	Gaulish, Transalpine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	xtg
xte	0	2	0	0	0	0	0	0	0	0	1	0	0	0	m	0	0	1	0	0	0	0	0	0	0	0	0	0	Ketengban	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	5.0	3	0	0	Ketengban	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9970	0	18	0	0	0	xte
xtd	0	1	0	0	0	0	"CENTRAL NOCHISTLÁN MIXTECO, DIUXI MIXTEC"	0	0	-	0	en es	MIS	Fri Dec 28 09:48:46 CST 2012	m	0	xtd	2	0	-	no	xtd	0	0	0	"Oto-Manguean, Mixtecan, Mixtec-Cuicatec, Mixtec."	-	-	Diuxi-Tilantongo Mixtec	-	MIS	-	-	0	0	235004	0	2	0	0	0	294120	0	0	"CENTRAL NOCHISTLÁN MIXTECO, DIUXI MIXTEC"	6.5	0	-	xtd	Mixtec, Diuxi-Tilantongo	Fri Jun 3 21:10:01 CDT 2011	xtd	Mexico	0	-	"Oto-Manguean, Mixtecan, Mixtec-Cuicatec, Mixtec."	Diuxi-Tilantongo Mixtec	0	-	0	no		0	0	0	0	-	0	0	4	1378739	0	en es	0	0	-	0	0	0	1722339	2	0	Diuxi-Tilantongo Mixtec	0	3410	0	6	Mexico	0	0	xtd
xtc	0	7	0	0	0	0	0	0	0	0	1	0	0	0	m	0	0	2	0	0	0	0	0	0	0	0	0	0	Katcha-Kadugli-Miri	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	5.0	1	0	0	Katcha-Kadugli-Miri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75000	0	8	0	0	0	xtc
xtb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Chazumba Mixtec	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7.0	0	0	0	Mixtec, Chazumba	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3790	0	0	0	0	0	xtb
xta	0	2	0	0	0	0	0	0	0	0	2	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Alcozauca Mixtec	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6.0	2	0	0	Mixtec, Alcozauca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	4	0	0	0	xta
xto	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	0	0	0	0	0	0	0	0	0	0	0	Tokharian A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7	0	0	0	Tokharian A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	xto
xtn	0	3	0	0	0	0	"NORTHERN TLAXIACO MIXTEC, SAN JUAN ÑUMÍ MIXTECO, ÑUMÍ MIXTECO"	0	0	-	0	en es	MOS	Fri Dec 28 09:46:52 CST 2012	m	0	xtn	0	0	-	no	xtn	0	0	0	"Oto-Manguean, Mixtecan, Mixtec-Cuicatec, Mixtec."	-	-	Northern Tlaxiaco Mixtec	-	MOS	-	-	0	0	42106	0	2	0	0	0	77049	0	0	"NORTHERN TLAXIACO MIXTEC, SAN JUAN ÑUMÍ MIXTECO, ÑUMÍ MIXTECO"	5.0	0	mpm mxv	xtn	Mixtec, Northern Tlaxiaco	Mon Jun 13 21:52:28 CDT 2011	xtn	Mexico	0	mpm mxv	"Oto-Manguean, Mixtecan, Mixtec-Cuicatec, Mixtec."	Northern Tlaxiaco Mixtec	0	-	0	no		0	0	0	0	-	0	0	2	191262	0	en es	0	0	-	0	0	0	354214	1	0	Northern Tlaxiaco Mixtec	0	12300	0	3	Mexico	0	0	xtn
