ID,Name in English,Name in French,Name in Spanish,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Sources,Latitude,Longitude,Description of the location,Endangerment code,In Europe
1022,South Italian,italien du sud,napolitano-calabrés,Italy,ITA,nap,Vulnerable,Neapolitan; Neapolitan-Calabrese; неаполитанский; неаполитанско-калабрийский,,7500000.0,,40.9798,15.249,"Campania, Lucania (Basilicata), Abruzzi (Abruzzo), Molise, northern Calabria, northern and central Apulia (Puglia), southern Lazio and Marche as well as easternmost Umbria",1,True
1023,Sicilian,sicilien,siciliano,Italy,ITA,scn,Vulnerable,,,5000000.0,,37.4399,14.5019,"Sicily (Sicilia), southern and central Calabria and southern Apulia (Puglia); a large number of émigré communities",1,True
383,Low Saxon,bas-saxon,bajo sajón,"Germany, Denmark, Netherlands, Poland, Russian Federation","DEU, DNK, NLD, POL, RUS","act, drt, frs, gos, nds, sdz, stl, twd, vel, wep",Vulnerable,"Low German, Niedersächsisch, Nedersaksisch, Niederdeutsch, Plattdeutsch ",Neddersassisch,4800000.0,,53.4029,10.3601,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere",1,True
335,Belarusian,biélorusse,bielorruso,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","BRB, LVA, LTU, POL, RUS, UKR",bel,Vulnerable,,,4000000.0,"Hienadź Cychun: Weißrussisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 563–579.",53.956,27.5756,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,1,True
382,Lombard,lombard,lombardo,"Italy, Switzerland","ITA, CHE",lmo,Definitely endangered,,,3500000.0,,45.7215,9.3273,"the region of Lombardy (except the southernmost border areas) and the Novara province in Piedmont, Italy; Ticino Canton and the Mesolcina District and two districts south of St. Moritz in Graubünden (Grigioni), Switzerland",2,True
405,Romani,romani,romaní,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro","ALB, DEU, AUT, BRB, BIH, BGR, HRV, EST, FIN, FRA, GRC, HUN, ITA, LVA, LTU, MKD, NLD, POL, ROU, GBR, RUS, SVK, SVN, CHE, CZE, TUR, UKR, SRB, MNE","rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",,3500000.0,"Yaron Matras: Romani: a linguistic introduction. Cambridge: Cambridge University Press,  2002.",46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",2,True
1020,Limburgian-Ripuarian,francique ripuaire -limbourgeois,limburgués-ripuarino,"Germany, Belgium, Netherlands","DEU, BEL, NLD","ksh, lim",Vulnerable,Colognian (dialect; in German: Kölsch),,2600000.0,,50.7781,6.0864,Limburg provinces in Belgium and the Netherlands and Rhineland in Germany,1,True
349,Emilian-Romagnol,émilien-romagnol,emiliano,"Italy, San Marino","ITA, SMR",eml,Definitely endangered,,,2000000.0,,44.127,12.0739,"the region of Emilia-Romagna, parts of the provinces of Pavia, Voghera, and Mantua in southern Lombardy, the Lunigiana district in northwestern Tuscany, the Pesaro-Urbino province in the region of Marche and the Republic of San Marino",2,True
399,Piedmontese,piémontais,piamontés,Italy,ITA,pms,Definitely endangered,,,2000000.0,,45.2013,7.8662,"Piedmont Region except the Novara Province, the western Alpine valleys and southern border areas, as well as minor adjacent areas",2,True
1021,Venetan,vénitien,veneciano,"Croatia, Italy, Slovenia","HRV, ITA, SVN",vec,Vulnerable,,,2000000.0,http://www.elgalepin.com/,45.4601,12.1948,"Veneto region, parts of Friuli-Venezia Giulia, Italy; Istria in both Slovenia and Croatia",1,True
1026,Torlak,torlak,torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","ALB, BGR, MKD, ROU, SRB","bos, hrv, srp",Vulnerable,"Shop; dialects: Goran, Janjev, Krashovan",,1500000.0,,42.9644,22.1374,"the core area: south-eastern Serbia, the westernmost parts of Bulgaria, the north-eastern region of the FYROM and, at least until recently, parts of southern Kosovo (Serbia); Goran: the border region of Kosovo, Albania and the FYROM; Janjev: south-eastern Kosovo (Serbia), from where most speakers have emigrated to Croatia; Krashovan: the region of Caraşova in Caraş-Severin County in the Romanian Banat",1,True
1476,West Flemish,flamand occidental,flamenco occidental,"Belgium, France, Netherlands","BEL, FRA, NLD","vls, zea",Vulnerable,Western Flemish; Zeelandic (Zeêuws),,1500000.0,"Devos, M.& Vandekerckhove, R. (2006). Taal in stad en land WEST-VLAAMS, Lannoo, 170 pp.
Streektaal.net http://taal.phileon.nl/index.php
",51.0275,3.0541,"the province of Zealand, the Netherlands; West Flanders, Belgium; and French Flanders, where definitively if not severely endangered",1,True
334,Bashkir,bachkir,baskir,Russian Federation,RUS,bak,Vulnerable,Bashkort,,1379727.0,"А. А. Юлдашев: Башкирский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 206–216.",54.7309,55.9863,the Republic of Bashkortostan and adjacent regions,1,True
1067,Chechen,tchétchène,checheno,Russian Federation,RUS,che,Vulnerable,,,1331844.0,,43.1971,45.7031,the Republic of Chechenia and adjacent regions,1,True
338,Chuvash,tchouvache,chuvacho,Russian Federation,RUS,chv,Vulnerable,,,1325382.0,"И. А. Андреев: Чувашский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 480–491.",56.1394,47.2412,Chuvash Republic and adjacent regions,1,True
1024,Eastern Slovak,slovaque oriental,eslovaco oriental,"Slovakia, Ukraine","SVK, UKR",slk,Vulnerable,,,1000000.0,"Aleksandr D. Duličenko: Ostslowakisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 355–358.",48.8068,21.7968,"Spiš, Šariš, Zemplín and Abov regions in eastern Slovakia; a regional language not recognized by the SIL",1,True
377,Ligurian,ligurien,ligur,"France, Italy, Monaco","FRA, ITA, MCO",lij,Definitely endangered,Monégasque (dialect),,1000000.0,,44.5748,8.7011,"Liguria and adjacent areas of Piedmont, Emilia and Tuscany, Italy; the villages of Tende, La Brigue, Fontan, Saorge, Breil-sur-Roya in the eastern corner of the department of Alpes-Maritimes, France; settlements in the towns of Carloforte on the San Pietro island and Calasetta on the Sant’Antioco island off the southwest coast of Sardinia, Italy, as well as in the town of Bonifacio in Corsica; until the twentieth century also Monaco, where Ligurian is still used and studied as a second language, and the villages of Biot, Vallauris, Mons and Escragnoles in the department of Alpes-Maritimes, France",2,True
407,Rusyn,ruthène,rutenio,"Hungary, Poland, Romania, Slovakia, Ukraine","HUN, POL, ROU, SVK, UKR",rue,Vulnerable,"Ruthenian, Carpatho-Rusyn. Dialects: Lemko (Lemke), Boyko, Hutzulian",,1000000.0,"Русиньскый язык. Redaktor naukowy Paul Robert Magocsi. Opole: Uniwersytet Opolski, Instytut Filologii Polskej, 2004. || Marc Stegherr: Rusinisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 399–408. || Encyclopedia of Rusyn history and culture. Paul Robert Magocsi and Ivan Pop, editors. Toronto: University of Toronto Press, 2002.",48.4437,22.9394,Trans-Carpathian region of Ukraine,1,True
337,Campidanese,campidanien,sardo campidanés,Italy,ITA,sro,Definitely endangered,Campidanese Sardinian,,900000.0,,39.2991,8.9868,southern Sardinia,2,True
1523,Polesian,polésien,polesio,"Belarus, Poland, Ukraine","BRB, POL, UKR",,Vulnerable,,,800000.0,"Aleksandr D. Duličenko: Westpolesisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 581–587.",51.8629,23.9501,"the south-west of Belarus, the north-west of the Ukraine and adjacent Poland; a regional language not recognized by the SIL",1,True
1069,Avar,avar,avar,Russian Federation,RUS,ava,Vulnerable,,,784840.0,,42.4801,46.8017,parts of the Republic of Daghestan,1,True
398,Picard,picard,picardo,"Belgium, France","BEL, FRA",pcd,Severely endangered,"ch’ti, ch’timi, rouchi",,700000.0,"Jean-Michel Eloy: Le picard, langue d'oïl http://www.encyclopedie.picardie.fr/index.php/Le_picard,_langue_d%27o%C3%AFl",50.2331,2.7905,"the regions of Picardy (Picardie) and Nord-Pas-de-Calais, France; the area extending from Tournai to Mons in the western part of the province of Hainaut, Belgium",3,True
415,Basque,basque,euskera,"Spain, France","ESP, FRA",eus,Vulnerable,,euskara,660000.0,"R. L. Trask: The history of Basque. London: Routledge, 1997. | José Ignacio Hualde & Jon Ortiz de Urbina: A grammar of Basque. Mouton Grammar Library 26; Berlin: Mouton de Gruyter, 2003.",43.133,-2.0764,"Basque Autonomous Region (the provinces of Bizkaia, Gipuzkoa and Araba) and the autonomous province of Navarre, Spain; Labourd, Basse-Navarre and Soule in the department of Pyrénées-Atlantiques, France",1,True
