LangID,CountryID,LangStatus,Name_lang,Name_country,Area
aae,IT,L,"Albanian, Arbëreshë",Italy,Europe
cim,IT,L,Cimbrian,Italy,Europe
egl,IT,L,Emilian,Italy,Europe
fur,IT,L,Friulian,Italy,Europe
ils,IT,L,International Sign,Italy,Europe
ise,IT,L,Italian Sign Language,Italy,Europe
ita,IT,L,Italian,Italy,Europe
itk,IT,L,Judeo-Italian,Italy,Europe
lij,IT,L,Ligurian,Italy,Europe
lld,IT,L,Ladin,Italy,Europe
lmo,IT,L,Lombard,Italy,Europe
mhn,IT,L,Mócheno,Italy,Europe
nap,IT,L,Napoletano-Calabrese,Italy,Europe
pms,IT,L,Piedmontese,Italy,Europe
rgn,IT,L,Romagnol,Italy,Europe
scn,IT,L,Sicilian,Italy,Europe
sdc,IT,L,"Sardinian, Sassarese",Italy,Europe
sdn,IT,L,"Sardinian, Gallurese",Italy,Europe
src,IT,L,"Sardinian, Logudorese",Italy,Europe
sro,IT,L,"Sardinian, Campidanese",Italy,Europe
svm,IT,L,Slavomolisano,Italy,Europe
vec,IT,L,Venetian,Italy,Europe
aat,GR,L,"Albanian, Arvanitika",Greece,Europe
cpg,GR,L,Cappadocian Greek,Greece,Europe
ell,GR,L,Greek,Greece,Europe
grc,GR,L,"Greek, Ancient",Greece,Europe
gss,GR,L,Greek Sign Language,Greece,Europe
pnt,GR,L,Pontic,Greece,Europe
rge,GR,L,Romano-Greek,Greece,Europe
ruq,GR,L,"Romanian, Megleno",Greece,Europe
tsd,GR,L,Tsakonian,Greece,Europe
abq,RU,L,Abaza,Russian Federation,Europe
ady,RU,L,Adyghe,Russian Federation,Europe
agx,RU,L,Aghul,Russian Federation,Europe
akv,RU,L,Akhvakh,Russian Federation,Europe
alr,RU,L,Alutor,Russian Federation,Europe
alt,RU,L,"Altai, Southern",Russian Federation,Europe
ani,RU,L,Andi,Russian Federation,Europe
aqc,RU,L,Archi,Russian Federation,Europe
atv,RU,L,"Altai, Northern",Russian Federation,Europe
ava,RU,L,Avar,Russian Federation,Europe
bak,RU,L,Bashkort,Russian Federation,Europe
bph,RU,L,Botlikh,Russian Federation,Europe
bxr,RU,L,"Buriat, Russia",Russian Federation,Europe
che,RU,L,Chechen,Russian Federation,Europe
chu,RU,L,"Slavonic, Church",Russian Federation,Europe
chv,RU,L,Chuvash,Russian Federation,Europe
cji,RU,L,Chamalal,Russian Federation,Europe
cjs,RU,L,Shor,Russian Federation,Europe
ckt,RU,L,Chukchi,Russian Federation,Europe
clw,RU,L,Chulym,Russian Federation,Europe
dar,RU,L,Dargwa,Russian Federation,Europe
ddo,RU,L,Dido,Russian Federation,Europe
dlg,RU,L,Dolgan,Russian Federation,Europe
