freq,unit,sex,age,geo\TIME_PERIOD	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,NR,T,TOTAL,AD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44593 	46976 	48451 	50528 	50887 	54507 	59048 	61599 	65226 	64311 	63859 	64479 	65306 	65877 	65971 	65844 	66334 	67159 	72320 	76875.0 	78549.0 	81222.0 	83137.0 	84484.0 	84082.0 	78115 	78115 	76246 	: 	: 	: 	: 	: 	76177 	: 	: 
A,NR,T,TOTAL,AL	1583800 	1633800 	1685800 	1736838 	1788404 	1839866 	1889715 	1939430 	1991765 	2052778 	2110612 	2160345 	2215361 	2270891 	2322613 	2377635 	2432027 	2485025 	2542066 	2590466 	2645198 	2698795 	2753316 	2815239 	2872681 	2936177 	2993347 	3051923 	3115286 	3169386 	3286500 	3259814 	3190103 	3167478 	3220310 	3248836 	3283000 	3324317 	3354341 	3373445 	3058497 	3063318 	3057018 	3044993 	3034231 	3019634.0 	3003329.0 	2981755.0 	2958266.0 	2936355.0 	2918674.0 	2907361 	2903008 	2897770 	2892394 	2885796 	2875592 	2876591 	2870324 	2862427 	2845955 	2829741 
A,NR,T,TOTAL,AM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3226900 	3215300 	3212900 	3210300 	3212200 	3215800.0 	3219234.0 	3222953.0 	3230086.0 	3237976.0 	3249482.0 	3262650 	3274285 	: 	: 	3010598 	2998577 	2986151 	2972732 	2965269 	2959694 	2963251 
A,NR,T,TOTAL,AT	7030385 	7064693 	7107904 	7151824 	7199798 	7247804 	7293973 	7350159 	7403837 	7426968 	7455142 	7479030 	7521933 	7566469 	7605760 	7592316 	7565489 	7565561 	7571299 	7553310 	7545539 	7553326 	7584094 	7564185 	7559635 	7563233 	7566736 	7572852 	7576319 	7594315 	7644818 	7710882 	7798899 	7882519 	7928746 	7943489 	7953067 	7964966 	7971116 	7982461 	8002186 	8020946 	8063640 	8100273 	8142573 	8201359.0 	8254298.0 	8282984.0 	8307989.0 	8335003.0 	8351643.0 	8375164 	8408121 	8451860 	8507786 	8584926 	8700471 	8772865 	8822267 	8858775 	8901064 	8932664 
A,NR,T,TOTAL,AZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8016200 	8081000 	8141400 	8202500 	8265700 	8347300.0 	8436400.0 	8532700.0 	8629900.0 	8896900.0 	8997586.0 	9111078 	9235085 	9356483 	9477119 	9593038 	9705643 	9809981 	9898085 	9981457 	10067108 	10119133 
A,NR,T,TOTAL,BA	3212349 	3265629 	3329909 	3406130 	3480448 	3553053 	3627922 	3700916 	3767185 	3734546 	3685694 	3731216 	3789131 	3845048 	3898064 	3950628 	4004830 	4059247 	4110203 	4157746 	4136941 	4114030 	4158361 	4203208 	4248746 	4293863 	4337350 	4379545 	4421373 	4461498 	4499203 	4517921 	: 	: 	: 	: 	: 	3727439 	3549736 	: 	3753085 e	3789717 e	3813167 e	3830349 e	3837414 e	3842532.0 e	3842650.0 	3844017.0 	3843846.0 	3843998.0 	3844046.0 	3843183 	3839265 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,T,TOTAL,BE	9128824 	9178154 	9189741 	9251414 	9328126 	9428100 	9499234 	9556380 	9605601 	9631910 	9660154 	9650944 	9695379 	9726850 	9756590 	9788248 	9813152 	9823302 	9837413 	9841654 	9855110 	9863374 	9854589 	9858017 	9853023 	9857721 	9858895 	9864751 	9875716 	9927612 	9947782 	9986975 	10021997 	10068319 	10100631 	10130574 	10143047 	10170226 	10192264 	10213752 	10239085 	10263414 	10309725 	10355844 	10396421 	10445852.0 	10511382.0 	10584534.0 	10666866.0 	10753080.0 	10839905.0 	11000638 b	11075889 b	11137974 	11180840 	11237274 	11311117 	11351727 	11398589 	11455519 	11522440 	11566041 p
A,NR,T,TOTAL,BG	7829246 	7905502 	7980734 	8045158 	8111132 	8177547 	8230788 	8285325 	8335126 	8404080 	8464264 	8514883 	8557906 	8594493 	8647440 	8710049 	8731434 	8785763 	8822602 	8805462 	8846417 	8876652 	8905581 	8929332 	8950144 	8971214 	8949880 	8966462 	8976255 	8986636 	8767308 	8669269 	8595465 	8484863 	8459763 	8427418 	8384715 	8340936 	8283200 	8230371 	8190876 	8149468 	7868815 	7805506 	7745147 	7688573.0 	7629371.0 	7572673.0 	7518002.0 	7467119.0 	7421766.0 	7369431 	7327224 	7284552 	7245677 	7202198 	7153784 	7101859 	7050034 	7000039 	6951482 	6916548 
A,NR,T,TOTAL,BY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10019480 	9990435 	9950941 	9898590 	9849062 	9800073.0 	9750540.0 	9714461.0 	9689770.0 	9671912.0 	9480178.0 	9481193 	9465150 	9463840 	9468154 	9480868 	9498364 	9504704 	9491823 	9475174 	: 	: 
A,NR,T,TOTAL,CH	5295500 	5360153 	5508435 	5639195 	5749299 	5829156 	5883788 	5952216 	6031353 	6104074 	6168700 	6193054 	6233744 	6288168 	6326525 	6356285 	6320978 	6284029 	6278319 	6285156 	6303573 	6335243 	6372904 	6409713 	6427833 	6455896 	6484834 	6523413 	6566799 	6619973 	6673850 	6757188 	6842768 	6907959 	6968570 	7019019 	7062354 	7081346 	7096465 	7123537 	7164444 	7204055 	7255653 	7313853 	7364148 	7415102.0 	7459128.0 	7508739.0 	7593494.0 	7701856.0 	7785806.0 	7870134 b	7954662 	8039060 	8139631 	8237666 	8327126 	8419550 	8484130 	8544527 	8606033 	8667088 p
