year,country,nEmigrants
2008,AT,51563.0
2008,BE,63085.333333333336
2008,BG,74607.66666666667
2008,CH,86130.0
2008,CY,4474.0
2008,CZ,51478.0
2008,DE,737889.0
2008,DK,38356.0
2008,EE,4406.0
2008,EL,43044.0
2008,ES,288432.0
2008,FI,13657.0
2008,FR,239796.0
2008,HR,10638.0
2008,HU,9591.0
2008,IE,65934.0
2008,IS,9144.0
2008,IT,80947.0
2008,LI,490.0
2008,LT,25750.0
2008,LU,10058.0
2008,LV,27045.0
2008,MK,751.0
2008,MT,3719.0
2008,NL,90067.0
2008,NO,12976.0
2008,PL,30140.0
2008,PT,20357.0
2008,RO,302796.0
2008,SE,45294.0
2008,SI,12109.0
2008,SK,1705.0
2008,UK,427207.0
2009,AT,53244.0
2009,BE,64174.666666666664
2009,BG,75105.33333333333
2009,CH,86036.0
2009,CY,4797.0
2009,CZ,61782.0
2009,DE,286582.0
2009,DK,39899.0
2009,EE,4658.0
2009,EL,43686.0
2009,ES,380121.0
2009,FI,12151.0
2009,FR,264631.0
2009,HR,12355.0
2009,HU,10483.0
2009,IE,69672.0
2009,IS,6874.0
2009,IT,80597.0
2009,LI,455.0
2009,LT,38500.0
2009,LU,9168.0
2009,LV,38208.0
2009,MK,792.0
2009,MT,3868.0
2009,NL,92825.0
2009,NO,17072.0
2009,PL,229320.0
2009,PT,16899.0
2009,RO,246626.0
2009,SE,39240.0
2009,SI,18788.0
2009,SK,1979.0
2009,UK,368177.0
2010,AT,51651.0
2010,BE,66013.0
2010,BG,81426.0
2010,CH,96839.0
2010,CY,4293.0
2010,CZ,61069.0
2010,DE,252456.0
2010,DK,41456.0
2010,EE,5294.0
2010,EL,62041.0
2010,ES,403377.0
2010,FI,11905.0
2010,FR,269531.0
2010,HR,13017.0
2010,HU,13365.0
2010,IE,78099.0
2010,IS,5459.0
2010,IT,78771.0
2010,LI,428.0
2010,LT,83157.0
2010,LU,9302.0
2010,LV,39651.0
2010,MK,1007.0
2010,MT,4201.0
2010,NL,95970.0
2010,NO,25835.0
2010,PL,218126.0
2010,PT,23760.0
2010,RO,197985.0
2010,SE,48853.0
2010,SI,15937.0
2010,SK,1889.0
2010,UK,339306.0
2011,AT,51197.0
2011,BE,84148.0
2011,BG,90321.0
2011,CH,96494.0
2011,CY,4895.0
2011,CZ,55910.0
2011,DE,249045.0
2011,DK,41593.0
2011,EE,6214.0
2011,EL,92404.0
2011,ES,409034.0
2011,FI,12660.0
2011,FR,291594.0
2011,HR,12699.0
2011,HU,15100.0
2011,IE,83049.0
2011,IS,4812.0
2011,IT,82461.0
2011,LI,467.0
2011,LT,53863.0
2011,LU,9264.0
2011,LV,30311.0
2011,MK,1290.0
2011,MT,3806.0
2011,NL,104201.0
2011,NO,20349.0
2011,PL,265798.0
2011,PT,43998.0
2011,RO,195551.0
2011,SE,51179.0
2011,SI,12024.0
2011,SK,1863.0
2011,UK,350703.0
2012,AT,51812.0
2012,BE,93600.0
2012,BG,16615.0
2012,CH,103881.0
2012,CY,18105.0
2012,CZ,46106.0
2012,DE,240001.0
2012,DK,43663.0
2012,EE,6321.0
2012,EL,124694.0
2012,ES,446606.0
2012,FI,13845.0
2012,FR,255922.0
2012,HR,12877.0
2012,HU,22880.0
2012,IE,81797.0
2012,IS,4758.0
2012,IT,106216.0
2012,LI,439.0
2012,LT,41100.0
2012,LU,10442.0
2012,LV,25163.0
2012,MK,1415.0
2012,MT,4005.0
2012,NL,110431.0
2012,NO,22693.0
2012,PL,275603.0
2012,PT,51958.0
2012,RO,170186.0
2012,SE,51747.0
2012,SI,14378.0
2012,SK,2003.0
2012,UK,321217.0
2013,AT,54071.0
2013,BE,102657.0
2013,BG,19678.0
2013,CH,106196.0
2013,CY,25227.0
2013,CZ,25894.0
2013,DE,259328.0
2013,DK,43310.0
2013,EE,6740.0
2013,EL,117094.0
2013,ES,532303.0
2013,FI,13893.0
2013,FR,239813.0
2013,HR,15262.0
2013,HU,34691.0
2013,IE,76560.0
2013,IS,4372.0
2013,IT,125735.0
2013,LI,497.0
2013,LT,38818.0
2013,LU,10750.0
2013,LV,22561.0
2013,MK,1041.0
2013,MT,4778.0
2013,NL,112625.0
2013,NO,26523.0
2013,PL,276446.0
2013,PT,53786.0
2013,RO,161755.0
2013,SE,50715.0
2013,SI,13384.0
2013,SK,2770.0
2013,UK,316934.0
2014,AT,53491.0
2014,BE,94573.0
2014,BG,28727.0
2014,CH,111103.0
2014,CY,24038.0
2014,CZ,28468.0
2014,DE,324221.0
2014,DK,44426.0
2014,EE,4637.0
2014,EL,106804.0
2014,ES,400430.0
2014,FI,15486.0
2014,FR,308103.0
2014,HR,20858.0
2014,HU,42213.0
2014,IE,71107.0
2014,IS,4052.0
2014,IT,136328.0
2014,LI,476.0
2014,LT,36621.0
2014,LU,11283.0
2014,LV,19017.0
2014,MK,839.0
2014,MT,5108.0
2014,NL,112900.0
2014,NO,29308.0
2014,PL,268299.0
2014,PT,49572.0
2014,RO,172871.0
2014,SE,51237.0
2014,SI,14336.0
2014,SK,3644.0
2014,UK,319086.0
2015,AT,56689.0
2015,BE,89794.0
2015,BG,29470.0
2015,CH,116631.0
2015,CY,17183.0
2015,CZ,25684.0
2015,DE,338403.0
2015,DK,44625.0
2015,EE,13003.0
2015,EL,109351.0
2015,ES,343875.0
2015,FI,16305.0
2015,FR,324517.0
2015,HR,29651.0
2015,HU,43225.0
2015,IE,67160.0
2015,IS,4046.0
2015,IT,146955.0
2015,LI,468.0
2015,LT,44533.0
2015,LU,12644.0
2015,LV,20119.0
2015,MK,1016.0
2015,MT,7095.0
2015,NL,112330.0
2015,NO,29173.0
2015,PL,258837.0
2015,PT,40377.0
2015,RO,194718.0
2015,SE,55830.0
2015,SI,14913.0
2015,SK,3870.0
2015,UK,299183.0
2016,AT,64428.0
2016,BE,92471.0
2016,BG,30570.0
2016,CH,120653.0
2016,CY,14892.0
2016,CZ,38864.0
2016,DE,533762.0
2016,DK,52654.0
2016,EE,13792.0
2016,EL,106535.0
2016,ES,327325.0
2016,FI,18082.0
2016,FR,313622.0
2016,HR,36436.0
2016,HU,39889.0
2016,IE,62056.0
2016,IS,4159.0
2016,IT,157065.0
2016,LI,522.0
2016,LT,50333.0
2016,LU,13442.0
2016,LV,20574.0
2016,MK,630.0
2016,MT,8303.0
2016,NL,111477.0
2016,NO,34694.0
2016,PL,236441.0
2016,PT,38273.0
2016,RO,207578.0
2016,SE,45878.0
2016,SI,15572.0
2016,SK,3801.0
2016,UK,340440.0
2017,AT,66144.0
2017,BE,89690.0
2017,BG,31586.0
2017,CH,124997.0
2017,CY,15105.0
2017,CZ,27316.0
2017,DE,560700.0
2017,DK,56403.0
2017,EE,12358.0
2017,EL,103327.0
2017,ES,368860.0
2017,FI,16973.0
2017,FR,215470.0
2017,HR,47352.0
2017,HU,39829.0
2017,IE,64068.0
2017,IS,3641.0
2017,IT,155110.0
2017,LI,426.0
2017,LT,47925.0
2017,LU,13831.0
2017,LV,17724.0
2017,MK,424.0
2017,MT,7020.0
2017,NL,108231.0
2017,NO,31963.0
2017,PL,218492.0
2017,PT,31753.0
2017,RO,242193.0
2017,SE,45620.0
2017,SI,17555.0
2017,SK,3466.0
2017,UK,359665.0
2018,AT,67212.0
2018,BE,88935.0
2018,BG,33225.0
2018,CH,130225.0
2018,CY,15340.0
2018,CZ,26742.0
2018,DE,540415.0
2018,DK,60381.0
2018,EE,10476.0
2018,EL,103049.0
2018,ES,309526.0
2018,FI,19141.0
2018,FR,300668.0
2018,HR,39515.0
2018,HU,48178.0
2018,IE,53735.0
2018,IS,4372.0
2018,IT,156960.0
2018,LI,484.0
2018,LT,32206.0
2018,LU,13985.0
2018,LV,15814.0
2018,MK,377.0
2018,MT,9342.0
2018,NL,109635.0
2018,NO,27158.0
2018,PL,189794.0
2018,PT,31600.0
2018,RO,231661.0
2018,SE,46981.0
2018,SI,13527.0
2018,SK,3298.0
2018,UK,344347.0
2019,AT,68280.0
2019,BE,102936.0
2019,BG,39941.0
2019,CH,126221.0
2019,CY,17373.0
2019,CZ,77798.0
2019,DE,576319.0
2019,DK,66520.0
2019,EE,12801.0
2019,EL,95020.0
2019,ES,296248.0
2019,FI,17263.0
2019,FR,299101.0
2019,HR,40148.0
2019,HU,49795.0
2019,IE,62004.0
2019,IS,4590.0
2019,IT,179505.0
2019,LI,446.0
2019,LT,29273.0
2019,LU,15593.0
2019,LV,14583.0
2019,MK,798.0
2019,MT,7998.0
2019,NL,107906.0
2019,NO,23207.0
2019,PL,180594.0
2019,PT,28219.0
2019,RO,233736.0
2019,SE,47718.0
2019,SI,15106.0
2019,SK,3384.0
2019,UK,368385.0
