year,country,nPopulation
2010,AD,84082.0
2010,AL,2918674.0
2010,AM,3249482.0
2010,AT,8351643.0
2010,AZ,8997586.0
2010,BA,3844046.0
2010,BE,10839905.0
2010,BG,7421766.0
2010,BY,9480178.0
2010,CH,7785806.0
2010,CY,819140.0
2010,CZ,10462088.0
2010,DE,81802257.0
2010,DK,5534738.0
2010,EE,1333290.0
2010,EL,11119289.0
2010,ES,46486619.0
2010,FI,5351427.0
2010,FR,64658856.0
2010,FX,62765235.0
2010,GE,4436391.0
2010,HR,4302847.0
2010,HU,10014324.0
2010,IE,4549428.0
2010,IS,317630.0
2010,IT,59190143.0
2010,LI,35894.0
2010,LT,3141976.0
2010,LU,502066.0
2010,LV,2120504.0
2010,MC,37700.0
2010,MD,3563695.0
2010,ME,619001.0
2010,MK,2052722.0
2010,MT,414027.0
2010,NL,16574989.0
2010,NO,4858199.0
2010,PL,38022869.0
2010,PT,10573479.0
2010,RO,20294683.0
2010,RS,7306677.0
2010,RU,141914509.0
2010,SE,9340682.0
2010,SI,2046976.0
2010,SK,5390410.0
2010,SM,31863.0
2010,TR,72561312.0
2010,UA,45782592.0
2010,UK,62510197.0
2010,XK,2208107.0
2011,AD,78115.0
2011,AL,2907361.0
2011,AM,3262650.0
2011,AT,8375164.0
2011,AZ,9111078.0
2011,BA,3843183.0
2011,BE,11000638.0
2011,BG,7369431.0
2011,BY,9481193.0
2011,CH,7870134.0
2011,CY,839751.0
2011,CZ,10486731.0
2011,DE,80222065.0
2011,DK,5560628.0
2011,EE,1329660.0
2011,EL,11123392.0
2011,ES,46667174.0
2011,FI,5375276.0
2011,FR,64978721.0
2011,FX,63070344.0
2011,GE,4469250.0
2011,HR,4289857.0
2011,HU,9985722.0
2011,IE,4570881.0
2011,IS,318452.0
2011,IT,59364690.0
2011,LI,36149.0
2011,LT,3052588.0
2011,LU,511840.0
2011,LV,2074605.0
2011,MC,37700.0
2011,MD,3560430.0
2011,ME,619850.0
2011,MK,2057284.0
2011,MT,414989.0
2011,NL,16655799.0
2011,NO,4920305.0
2011,PL,38062718.0
2011,PT,10572721.0
2011,RO,20199059.0
2011,RS,7251549.0
2011,RU,142856536.0
2011,SE,9415570.0
2011,SI,2050189.0
2011,SK,5392446.0
2011,SM,31863.0
2011,TR,73722988.0
2011,UA,45598179.0
2011,UK,63022532.0
2011,XK,1794180.0
2012,AD,78115.0
2012,AL,2903008.0
2012,AM,3274285.0
2012,AT,8408121.0
2012,AZ,9235085.0
2012,BA,3839265.0
2012,BE,11075889.0
2012,BG,7327224.0
2012,BY,9465150.0
2012,CH,7954662.0
2012,CY,862011.0
2012,CZ,10505445.0
2012,DE,80327900.0
2012,DK,5580516.0
2012,EE,1325217.0
2012,EL,11086406.0
2012,ES,46818219.0
2012,FI,5401267.0
2012,FR,65276983.0
2012,FX,63375971.0
2012,GE,4497617.0
2012,HR,4275984.0
2012,HU,9931925.0
2012,IE,4589287.0
2012,IS,319575.0
2012,IT,59394207.0
2012,LI,36475.0
2012,LT,3003641.0
2012,LU,524853.0
2012,LV,2044813.0
2012,MC,37700.0
2012,MD,3559541.0
2012,ME,620308.0
2012,MK,2059794.0
2012,MT,417546.0
2012,NL,16730348.0
2012,NO,4985870.0
2012,PL,38063792.0
2012,PT,10542398.0
2012,RO,20095996.0
2012,RS,7216649.0
2012,RU,143056383.0
2012,SE,9482855.0
2012,SI,2055496.0
2012,SK,5404322.0
2012,SM,33376.0
2012,TR,74724269.0
2012,UA,45453282.0
2012,UK,63495088.0
2012,XK,1780021.0
2013,AD,76246.0
2013,AL,2897770.0
2013,AM,3026878.0
2013,AT,8451860.0
2013,AZ,9356483.0
2013,BA,3835645.0
2013,BE,11137974.0
2013,BG,7284552.0
2013,BY,9463840.0
2013,CH,8039060.0
2013,CY,865878.0
2013,CZ,10516125.0
2013,DE,80523746.0
2013,DK,5602628.0
2013,EE,1320174.0
2013,EL,11003615.0
2013,ES,46727890.0
2013,FI,5426674.0
2013,FR,65600350.0
2013,FX,63697865.0
2013,GE,4494057.5
2013,HR,4262140.0
2013,HU,9908798.0
2013,IE,4609779.0
2013,IS,321857.0
2013,IT,59685227.0
2013,LI,36838.0
2013,LT,2971905.0
2013,LU,537039.0
2013,LV,2023825.0
2013,MC,37700.0
2013,MD,3559497.0
2013,ME,620893.0
2013,MK,2062294.0
2013,MT,422509.0
2013,NL,16779575.0
2013,NO,5051275.0
2013,PL,38062535.0
2013,PT,10487289.0
2013,RO,20020074.0
2013,RS,7181505.0
2013,RU,143361657.0
2013,SE,9555893.0
2013,SI,2058821.0
2013,SK,5410836.0
2013,SM,33562.0
2013,TR,75627384.0
2013,UA,45372692.0
2013,UK,63905342.0
2013,XK,1815606.0
2014,AD,74741.33333333333
2014,AL,2892394.0
2014,AM,3017079.0
2014,AT,8507786.0
2014,AZ,9477119.0
2014,BA,3830911.0
2014,BE,11180840.0
2014,BG,7245677.0
2014,BY,9468154.0
2014,CH,8139631.0
2014,CY,858000.0
2014,CZ,10512419.0
2014,DE,80767463.0
2014,DK,5627235.0
2014,EE,1315819.0
2014,EL,10926807.0
2014,ES,46512199.0
2014,FI,5451270.0
2014,FR,66165980.0
2014,FX,63697865.0
2014,GE,4490498.0
2014,HR,4246809.0
2014,HU,9877365.0
2014,IE,4637852.0
2014,IS,325671.0
2014,IT,60782668.0
2014,LI,37129.0
2014,LT,2943472.0
2014,LU,549680.0
2014,LV,2001468.0
2014,MC,37700.0
2014,MD,3557634.0
2014,ME,621521.0
2014,MK,2065769.0
2014,MT,429424.0
2014,NL,16829289.0
2014,NO,5107970.0
2014,PL,38017856.0
2014,PT,10427301.0
2014,RO,19947311.0
2014,RS,7146759.0
2014,RU,143666931.0
2014,SE,9644864.0
2014,SI,2061085.0
2014,SK,5415949.0
2014,SM,32520.0
2014,TR,76667864.0
2014,UA,45245894.0
2014,UK,64351203.0
2014,XK,1820631.0
2015,AD,73236.66666666667
