year,country,nPopulation
2019,AT,4501742
2019,BE,5810693
2019,BG,3604338
2019,CH,4307406
2019,CY,448068
2019,CZ,5405606
2019,DE,42052522
2019,DK,2917008
2019,EE,699185
2019,EL,5516306
2019,ES,23927801
2019,FI,2794629
2019,FR,34626376
2019,HR,2103674
2019,HU,5096935
2019,IE,2475359
2019,IS,174154
2019,IT,30974780
2019,LI,19353
2019,LT,1498593
2019,LU,305174
2019,LV,1035059
2019,MT,241723
2019,NL,8701077
2019,NO,2643139
2019,PL,19592436
2019,PT,5424251
2019,RO,9914008
2019,SE,5087747
2019,SI,1042252
2019,SK,2789344
2020,AT,4525366
2020,BE,5834299
2020,BG,3580790
2020,CH,4326343
2020,CY,453106
2020,CZ,5420546
2020,DE,42116527
2020,DK,2919618
2020,EE,700062
2020,EL,5496181
2020,ES,24131741
2020,FI,2797356
2020,FR,34731707
2020,HR,2085331
2020,HU,5089082
2020,IE,2506419
2020,IS,177114
2020,IT,30904664
2020,LI,19481
2020,LT,1490352
2020,LU,310983
2020,LV,1026045
2020,MT,246651
2020,NL,8761374
2020,NO,2661936
2020,PL,19571225
2020,PT,5440891
2020,RO,9840757
2020,SE,5129675
2020,SI,1044527
2020,SK,2792019
2030,AT,4651429
2030,BE,5951166
2030,BG,3326907
2030,CH,4577736
2030,CY,495813
2030,CZ,5422777
2030,DE,42349677
2030,DK,2993824
2030,EE,679042
2030,EL,5271878
2030,ES,24956985
2030,FI,2784572
2030,FR,35616052
2030,HR,1949170
2030,HU,4964712
2030,IE,2788867
2030,IS,200166
2030,IT,30540248
2030,LI,20611
2030,LT,1349024
2030,LU,342578
2030,LV,911781
2030,MT,280264
2030,NL,9058434
2030,NO,2850768
2030,PL,19076395
2030,PT,5387182
2030,RO,9048566
2030,SE,5491609
2030,SI,1034044
2030,SK,2775676
2040,AT,4723790
2040,BE,6026313
2040,BG,3092349
2040,CH,4817287
2040,CY,525302
2040,CZ,5328435
2040,DE,42289904
2040,DK,3039441
2040,EE,657493
2040,EL,5055604
2040,ES,25397718
2040,FI,2732248
2040,FR,36276797
2040,HR,1833323
2040,HU,4832600
2040,IE,3005979
2040,IS,218658
2040,IT,30145545
2040,LI,21398
2040,LT,1211937
2040,LU,365679
2040,LV,810094
2040,MT,299827
2040,NL,9196891
2040,NO,3011791
2040,PL,18361091
2040,PT,5258718
2040,RO,8378338
2040,SE,5777253
2040,SI,1016210
2040,SK,2704455
2050,AT,4751156
2050,BE,6046029
2050,BG,2892307
2050,CH,5033318
2050,CY,545595
2050,CZ,5256737
2050,DE,42092941
2050,DK,3058278
2050,EE,637884
2050,EL,4818115
2050,ES,25476110
2050,FI,2652960
2050,FR,36404961
2050,HR,1713334
2050,HU,4706408
2050,IE,3174422
2050,IS,234505
2050,IT,29421076
2050,LI,21877
2050,LT,1091027
2050,LU,381458
2050,LV,726751
2050,MT,314136
2050,NL,9194847
2050,NO,3136203
2050,PL,17478362
2050,PT,5055243
2050,RO,7777890
2050,SE,6046994
2050,SI,992283
2050,SK,2611631
2060,AT,4716644
2060,BE,6012730
2060,BG,2717964
2060,CH,5218453
2060,CY,562622
2060,CZ,5192196
2060,DE,41610779
2060,DK,3068805
2060,EE,617527
2060,EL,4541853
2060,ES,25020922
2060,FI,2574468
2060,FR,36198393
2060,HR,1605226
2060,HU,4605040
2060,IE,3278689
2060,IS,249053
2060,IT,28215126
2060,LI,22137
2060,LT,982719
2060,LU,389401
2060,LV,655352
2060,MT,325814
2060,NL,9136443
2060,NO,3231927
2060,PL,16605828
2060,PT,4803431
2060,RO,7244628
2060,SE,6272514
2060,SI,960729
2060,SK,2508385
2070,AT,4680090
2070,BE,5992062
2070,BG,2561134
2070,CH,5404238
2070,CY,576617
2070,CZ,5085303
2070,DE,41440080
2070,DK,3081411
2070,EE,599940
2070,EL,4281661
2070,ES,24327364
2070,FI,2516278
2070,FR,35998048
2070,HR,1520147
2070,HU,4489004
2070,IE,3333994
2070,IS,263512
2070,IT,27000353
2070,LI,22467
2070,LT,904419
2070,LU,392251
2070,LV,600873
2070,MT,333188
2070,NL,9117347
2070,NO,3313529
2070,PL,15736332
2070,PT,4552070
2070,RO,6760248
2070,SE,6452932
2070,SI,933850
2070,SK,2388474
2080,AT,4666023
2080,BE,5988884
2080,BG,2444455
2080,CH,5612191
2080,CY,583031
2080,CZ,5013765
2080,DE,41581253
2080,DK,3105618
2080,EE,585416
2080,EL,4112522
2080,ES,23821873
2080,FI,2460261
2080,FR,35896790
2080,HR,1453694
2080,HU,4402999
2080,IE,3360216
2080,IS,277177
2080,IT,26292253
2080,LI,23025
2080,LT,857005
2080,LU,392190
2080,LV,563353
2080,MT,334222
2080,NL,9139122
2080,NO,3388561
2080,PL,14842413
2080,PT,4368397
2080,RO,6424928
2080,SE,6607556
2080,SI,916366
2080,SK,2275013
2090,AT,4652400
2090,BE,5982881
2090,BG,2387349
2090,CH,5832563
2090,CY,583116
2090,CZ,5018547
2090,DE,41770912
2090,DK,3122038
2090,EE,575571
2090,EL,4044546
2090,ES,23624932
2090,FI,2401327
2090,FR,35835027
2090,HR,1410011
2090,HU,4365550
2090,IE,3380895
2090,IS,289891
2090,IT,25914622
2090,LI,23726
2090,LT,829879
2090,LU,390406
2090,LV,543497
2090,MT,331055
2090,NL,9125408
2090,NO,3441814
2090,PL,14197917
2090,PT,4271268
2090,RO,6271964
2090,SE,6706815
2090,SI,911376
2090,SK,2203543
2100,AT,4658925
2100,BE,5989523
2100,BG,2380965
2100,CH,6078304
2100,CY,583171
2100,CZ,5072050
2100,DE,42150384
2100,DK,3135862
2100,EE,573726
2100,EL,4024402
2100,ES,23470966
2100,FI,2357881
2100,FR,35840753
2100,HR,1387670
2100,HU,4360404
2100,IE,3385937
2100,IS,302697
2100,IT,25651506
2100,LI,24641
2100,LT,825971
2100,LU,389356
2100,LV,541687
2100,MT,328791
2100,NL,9107948
2100,NO,3486331
2100,PL,13901997
2100,PT,4210874
2100,RO,6248029
2100,SE,6788682
2100,SI,914664
2100,SK,2179016
