indic_is,ind_type,unit,geo\time	2015 	2016 	2017 	2019 
I_DSK_BAB,F_Y16_74,PC_IND,AL	: 	: 	: 	20 
I_DSK_BAB,F_Y16_74,PC_IND,AT	57 	61 	62 	61 
I_DSK_BAB,F_Y16_74,PC_IND,BA	: 	: 	: 	20 
I_DSK_BAB,F_Y16_74,PC_IND,BE	58 	58 	59 	58 
I_DSK_BAB,F_Y16_74,PC_IND,BG	31 	27 	30 	30 
I_DSK_BAB,F_Y16_74,PC_IND,CH	: 	: 	74 b	76 b
I_DSK_BAB,F_Y16_74,PC_IND,CY	40 	45 	51 	47 
I_DSK_BAB,F_Y16_74,PC_IND,CZ	55 	53 	57 	62 b
I_DSK_BAB,F_Y16_74,PC_IND,DE	63 	64 	65 	67 
I_DSK_BAB,F_Y16_74,PC_IND,DK	73 	76 	67 	68 
I_DSK_BAB,F_Y16_74,PC_IND,EA	54 	55 	55 	57 
I_DSK_BAB,F_Y16_74,PC_IND,EE	64 	60 	60 	61 
I_DSK_BAB,F_Y16_74,PC_IND,EL	40 	45 	44 	49 
I_DSK_BAB,F_Y16_74,PC_IND,ES	51 	50 	52 	56 
I_DSK_BAB,F_Y16_74,PC_IND,EU27_2007	53 	54 	55 	: 
I_DSK_BAB,F_Y16_74,PC_IND,EU27_2020	51 	52 	53 	54 
I_DSK_BAB,F_Y16_74,PC_IND,EU28	53 	54 	55 	56 
I_DSK_BAB,F_Y16_74,PC_IND,FI	74 	74 	77 	78 
I_DSK_BAB,F_Y16_74,PC_IND,FR	56 	56 	57 	56 
I_DSK_BAB,F_Y16_74,PC_IND,HR	46 	50 	34 	50 
I_DSK_BAB,F_Y16_74,PC_IND,HU	47 	49 	47 	46 
I_DSK_BAB,F_Y16_74,PC_IND,IE	44 	43 	48 	53 
I_DSK_BAB,F_Y16_74,PC_IND,IS	: 	: 	86 	85 
I_DSK_BAB,F_Y16_74,PC_IND,IT	39 	40 	: u	38 b
I_DSK_BAB,F_Y16_74,PC_IND,LT	52 	51 	56 	56 
I_DSK_BAB,F_Y16_74,PC_IND,LU	83 	81 	82 	61 b
I_DSK_BAB,F_Y16_74,PC_IND,LV	50 	52 b	50 	46 b
I_DSK_BAB,F_Y16_74,PC_IND,ME	: 	: 	42 	: u
I_DSK_BAB,F_Y16_74,PC_IND,MK	36 	35 	31 	32 
I_DSK_BAB,F_Y16_74,PC_IND,MT	49 	49 	56 	55 
I_DSK_BAB,F_Y16_74,PC_IND,NL	69 	74 	77 	76 
I_DSK_BAB,F_Y16_74,PC_IND,NO	77 	74 	74 	82 
I_DSK_BAB,F_Y16_74,PC_IND,PL	38 	43 	45 	43 
I_DSK_BAB,F_Y16_74,PC_IND,PT	44 	45 	48 	49 
I_DSK_BAB,F_Y16_74,PC_IND,RO	25 	26 	28 	29 
I_DSK_BAB,F_Y16_74,PC_IND,RS	29 	: 	36 	43 
I_DSK_BAB,F_Y16_74,PC_IND,SE	71 	67 b	76 	71 u
I_DSK_BAB,F_Y16_74,PC_IND,SI	51 	53 	57 	56 
I_DSK_BAB,F_Y16_74,PC_IND,SK	52 	54 	56 	54 
I_DSK_BAB,F_Y16_74,PC_IND,TR	18 	22 	27 	29 
I_DSK_BAB,F_Y16_74,PC_IND,UK	65 	68 	69 	71 
I_DSK_BAB,F_Y16_74,PC_IND,XK	: 	: 	17 	24 
I_DSK_BAB,IND_TOTAL,PC_IND,AL	: 	: 	: 	21 
I_DSK_BAB,IND_TOTAL,PC_IND,AT	64 	65 	67 	66 
I_DSK_BAB,IND_TOTAL,PC_IND,BA	: 	: 	: 	24 
I_DSK_BAB,IND_TOTAL,PC_IND,BE	60 	61 	61 	61 
I_DSK_BAB,IND_TOTAL,PC_IND,BG	31 	26 	29 	29 
I_DSK_BAB,IND_TOTAL,PC_IND,CH	: 	: 	76 b	77 b
I_DSK_BAB,IND_TOTAL,PC_IND,CY	43 	43 	50 	45 
I_DSK_BAB,IND_TOTAL,PC_IND,CZ	57 	54 	60 	62 b
I_DSK_BAB,IND_TOTAL,PC_IND,DE	67 	68 	68 	70 
I_DSK_BAB,IND_TOTAL,PC_IND,DK	75 	78 	71 	70 
I_DSK_BAB,IND_TOTAL,PC_IND,EA	57 	57 	58 	59 
I_DSK_BAB,IND_TOTAL,PC_IND,EE	65 	60 	60 	62 
I_DSK_BAB,IND_TOTAL,PC_IND,EL	44 	46 	46 	51 
I_DSK_BAB,IND_TOTAL,PC_IND,ES	54 	53 	55 	57 
I_DSK_BAB,IND_TOTAL,PC_IND,EU27_2007	55 	56 	57 	: 
I_DSK_BAB,IND_TOTAL,PC_IND,EU27_2020	54 	54 	55 	56 
I_DSK_BAB,IND_TOTAL,PC_IND,EU28	55 	56 	57 	58 
I_DSK_BAB,IND_TOTAL,PC_IND,FI	74 	73 	76 	76 
I_DSK_BAB,IND_TOTAL,PC_IND,FR	57 	56 	57 	57 
I_DSK_BAB,IND_TOTAL,PC_IND,HR	51 	55 	41 	53 
I_DSK_BAB,IND_TOTAL,PC_IND,HU	50 	51 	50 	49 
I_DSK_BAB,IND_TOTAL,PC_IND,IE	44 	44 	48 	53 
I_DSK_BAB,IND_TOTAL,PC_IND,IS	: 	: 	85 	85 
I_DSK_BAB,IND_TOTAL,PC_IND,IT	43 	44 	: u	42 b
I_DSK_BAB,IND_TOTAL,PC_IND,LT	51 	52 	55 	56 
