ind_type,unit,indic_is,geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
IND_TOTAL,PC_IND,I_ILT12,AL	: 	: 	: 	: 	: 	: 	: 	: 	65 	70 	: 	: 
IND_TOTAL,PC_IND,I_ILT12,AT	75 	80 	81 	82 	82 	85 	85 	88 	88 	88 	89 	93 
IND_TOTAL,PC_IND,I_ILT12,BA	: 	: 	: 	: 	: 	: 	: 	: 	72 	71 	74 	77 
IND_TOTAL,PC_IND,I_ILT12,BE	79 	83 	82 	83 	86 	86 	87 	89 	90 	91 	92 	94 
IND_TOTAL,PC_IND,I_ILT12,BG	46 	51 	55 	56 	59 	60 	62 	66 	67 	71 	74 	78 
IND_TOTAL,PC_IND,I_ILT12,CH	: 	: 	: 	: 	91 	: 	: 	95 b	: 	97 	: 	98 
IND_TOTAL,PC_IND,I_ILT12,CY	53 	58 	61 	66 	70 	72 	76 	81 	85 	86 	91 	91 
IND_TOTAL,PC_IND,I_ILT12,CZ	69 	73 	76 	76 	81 	83 	83 	85 	87 	88 	89 	90 
IND_TOTAL,PC_IND,I_ILT12,DE	82 	83 	84 	86 	88 	89 	91 	91 	93 	94 	95 	92 b
IND_TOTAL,PC_IND,I_ILT12,DK	89 	91 	93 	95 	96 	97 	97 	97 	98 	97 	99 	99 
IND_TOTAL,PC_IND,I_ILT12,EA	71 	74 	76 	78 	80 	82 	83 	85 	87 	89 	90 e	90 e
IND_TOTAL,PC_IND,I_ILT12,EE	75 	77 	79 	81 	86 b	89 	88 	89 	90 	91 	90 	92 
IND_TOTAL,PC_IND,I_ILT12,EL	46 	53 	56 	61 	65 	68 	70 	70 	73 	76 	79 	79 
IND_TOTAL,PC_IND,I_ILT12,ES	66 	69 	72 	74 	77 	80 	81 	85 	87 	91 	93 	94 
IND_TOTAL,PC_IND,I_ILT12,EU27_2007	71 	73 	75 	77 	80 	81 	84 	85 	87 	: 	: 	: 
IND_TOTAL,PC_IND,I_ILT12,EU27_2020	69 	71 	74 	75 	78 	80 	82 	84 	85 	87 	89 e	90 e
IND_TOTAL,PC_IND,I_ILT12,EU28	71 	73 	75 	77 	80 	81 	84 	85 	87 	88 	: 	: 
IND_TOTAL,PC_IND,I_ILT12,FI	87 	89 	91 	92 	93 	93 	94 	94 	95 	95 	97 	97 
IND_TOTAL,PC_IND,I_ILT12,FR	77 	80 	83 	84 	86 	87 	88 	88 	89 	91 	: 	93 
IND_TOTAL,PC_IND,I_ILT12,HR	57 	60 	63 	68 	70 	71 	74 	69 	76 	80 	80 	82 
IND_TOTAL,PC_IND,I_ILT12,HU	64 	70 	72 	74 	77 	76 	81 	79 	79 	83 	86 	89 
IND_TOTAL,PC_IND,I_ILT12,IE	70 	77 	79 	80 	82 	82 	83 	82 	84 	91 	92 	99 b
IND_TOTAL,PC_IND,I_ILT12,IS	: u	95 	96 	97 	98 	: 	: 	98 	99 	99 	99 	100 
IND_TOTAL,PC_IND,I_ILT12,IT	54 	57 	58 	61 	64 	68 	71 	73 	77 	78 	81 	: 
IND_TOTAL,PC_IND,I_ILT12,LT	62 	64 	67 	69 	73 	72 	75 	79 	81 	82 	84 	88 
IND_TOTAL,PC_IND,I_ILT12,LU	91 	91 	92 	95 	95 	98 	98 	97 	97 b	97 	99 	99 
IND_TOTAL,PC_IND,I_ILT12,LV	68 	72 	74 	76 	77 	80 	81 b	82 	85 	87 	90 	92 
IND_TOTAL,PC_IND,I_ILT12,ME	: 	: 	59 	: 	: 	: 	: 	73 	74 	76 	79 	83 
IND_TOTAL,PC_IND,I_ILT12,MK	54 	: 	60 	66 	70 	73 	75 	76 	80 	82 	84 	: 
IND_TOTAL,PC_IND,I_ILT12,MT	63 	69 	70 	71 	75 	78 	79 	81 	82 	86 	87 	88 
IND_TOTAL,PC_IND,I_ILT12,NL	91 	92 	93 	94 	94 	94 	94 	96 	95 	96 	95 	95 
IND_TOTAL,PC_IND,I_ILT12,NO	93 	94 	95 	96 	97 	97 	98 	98 	98 	99 	98 	100 
IND_TOTAL,PC_IND,I_ILT12,PL	62 	65 	65 	65 	69 	70 	75 	78 	79 	82 	85 	87 
IND_TOTAL,PC_IND,I_ILT12,PT	53 	58 	64 	65 	67 	70 	71 	75 	75 	76 	79 	83 
IND_TOTAL,PC_IND,I_ILT12,RO	40 	44 	50 	55 	59 b	62 	66 	70 	77 	80 	85 	88 
IND_TOTAL,PC_IND,I_ILT12,RS	: 	: 	: 	: 	: 	66 	: 	72 	75 	79 	80 	84 
IND_TOTAL,PC_IND,I_ILT12,SE	92 	94 	94 	95 	93 	92 	95 b	97 	93 	98 	97 	97 
IND_TOTAL,PC_IND,I_ILT12,SI	70 	69 	70 	74 	74 	75 	76 	80 	81 	84 	88 	90 
IND_TOTAL,PC_IND,I_ILT12,SK	79 	78 	80 	81 	83 	81 	83 	83 	83 	85 	91 	90 
IND_TOTAL,PC_IND,I_ILT12,TR	40 	: 	45 	46 	51 	54 	59 	66 	72 	75 	78 	82 
IND_TOTAL,PC_IND,I_ILT12,UK	85 	87 	89 	91 	92 	93 	95 	95 	95 	96 	98 	: 
IND_TOTAL,PC_IND,I_ILT12,XK	: 	: 	: 	: 	: 	: 	: 	86 	88 	91 	97 	: 
IND_TOTAL,PC_IND,I_IU3,AL	: 	: 	: 	: 	: 	: 	: 	: 	63 	69 	: 	: 
IND_TOTAL,PC_IND,I_IU3,AT	74 	79 	80 	81 	81 	84 	84 	88 	87 	88 	88 	93 
IND_TOTAL,PC_IND,I_IU3,BA	: 	: 	: 	: 	: 	: 	: 	: 	70 	70 	73 	76 
IND_TOTAL,PC_IND,I_IU3,BE	78 	82 	81 	82 	85 	85 	87 	88 	89 	90 	92 	93 
IND_TOTAL,PC_IND,I_IU3,BG	43 	48 	52 	53 	55 	57 	59 	63 	65 	68 	70 	75 
IND_TOTAL,PC_IND,I_IU3,CH	: 	: 	: 	: 	90 	: 	: 	94 b	: 	97 	: 	98 
IND_TOTAL,PC_IND,I_IU3,CY	52 	57 	61 	65 	69 	72 	76 	81 	84 	86 	91 	91 
IND_TOTAL,PC_IND,I_IU3,CZ	66 	70 	74 	74 	80 	81 	82 	85 	87 	87 	88 	89 
IND_TOTAL,PC_IND,I_IU3,DE	80 	81 	82 	84 	86 	88 	90 	90 	92 	93 	94 	91 b
IND_TOTAL,PC_IND,I_IU3,DK	88 	90 	92 	95 	96 	96 	97 	97 	98 	97 	99 	99 
IND_TOTAL,PC_IND,I_IU3,EA	69 	72 	74 	76 	78 	80 	82 	84 	86 	87 	89 e	89 e
IND_TOTAL,PC_IND,I_IU3,EE	74 	76 	78 	79 	84 b	88 	87 	88 	89 	90 	89 	91 
IND_TOTAL,PC_IND,I_IU3,EL	44 	52 	55 	60 	63 	67 	69 	70 	72 	76 	78 	78 
IND_TOTAL,PC_IND,I_IU3,ES	64 	66 	69 	72 	76 	79 	81 	85 	86 	91 	93 	94 
IND_TOTAL,PC_IND,I_IU3,EU27_2007	69 	71 	74 	75 	78 	80 	82 	84 	85 	: 	: 	: 
IND_TOTAL,PC_IND,I_IU3,EU27_2020	67 	69 	72 	73 	76 	78 	80 	82 	84 	86 	88 e	89 e
