unit,indic_is,ind_type,geo\time	2011 	2013 	2015 
PC_IND,I_IUWIKI,EMPL_UNE,AT	60 	62 	63 
PC_IND,I_IUWIKI,EMPL_UNE,BE	33 	40 	47 
PC_IND,I_IUWIKI,EMPL_UNE,BG	17 	13 	27 
PC_IND,I_IUWIKI,EMPL_UNE,CY	30 	31 	46 
PC_IND,I_IUWIKI,EMPL_UNE,CZ	20 	32 	39 
PC_IND,I_IUWIKI,EMPL_UNE,DE	65 	69 	71 
PC_IND,I_IUWIKI,EMPL_UNE,DK	53 	60 	65 
PC_IND,I_IUWIKI,EMPL_UNE,EA	47 	54 	52 
PC_IND,I_IUWIKI,EMPL_UNE,EE	45 	50 	60 
PC_IND,I_IUWIKI,EMPL_UNE,EL	33 	38 	40 
PC_IND,I_IUWIKI,EMPL_UNE,ES	42 	49 	58 
PC_IND,I_IUWIKI,EMPL_UNE,EU27_2007	43 	49 	50 
PC_IND,I_IUWIKI,EMPL_UNE,EU27_2020	43 	49 	49 
PC_IND,I_IUWIKI,EMPL_UNE,EU28	43 	49 	50 
PC_IND,I_IUWIKI,EMPL_UNE,FI	68 	76 	78 
PC_IND,I_IUWIKI,EMPL_UNE,FR	42 	55 	28 
PC_IND,I_IUWIKI,EMPL_UNE,HR	23 	40 	52 
PC_IND,I_IUWIKI,EMPL_UNE,HU	32 	33 	51 
PC_IND,I_IUWIKI,EMPL_UNE,IE	24 	30 	30 
PC_IND,I_IUWIKI,EMPL_UNE,IS	47 	60 	: 
PC_IND,I_IUWIKI,EMPL_UNE,IT	35 	41 	44 
PC_IND,I_IUWIKI,EMPL_UNE,LT	24 	32 	36 
PC_IND,I_IUWIKI,EMPL_UNE,LU	67 	76 	78 
PC_IND,I_IUWIKI,EMPL_UNE,LV	29 	25 	23 
PC_IND,I_IUWIKI,EMPL_UNE,MK	: 	16 	30 
PC_IND,I_IUWIKI,EMPL_UNE,MT	45 	41 	56 
PC_IND,I_IUWIKI,EMPL_UNE,NL	60 	69 	64 
PC_IND,I_IUWIKI,EMPL_UNE,NO	77 	73 	78 
PC_IND,I_IUWIKI,EMPL_UNE,PL	29 	34 	33 
PC_IND,I_IUWIKI,EMPL_UNE,PT	34 	40 	46 
PC_IND,I_IUWIKI,EMPL_UNE,RO	15 	14 	19 
PC_IND,I_IUWIKI,EMPL_UNE,RS	: 	: 	47 
PC_IND,I_IUWIKI,EMPL_UNE,SE	60 	72 	66 
PC_IND,I_IUWIKI,EMPL_UNE,SI	40 	46 	45 
PC_IND,I_IUWIKI,EMPL_UNE,SK	31 	30 	39 
PC_IND,I_IUWIKI,EMPL_UNE,TR	: 	19 	32 
PC_IND,I_IUWIKI,EMPL_UNE,UK	46 	50 	58 
PC_IND,I_IUWIKI,F_Y16_74,AT	50 	50 	52 
PC_IND,I_IUWIKI,F_Y16_74,BE	28 	34 	42 
PC_IND,I_IUWIKI,F_Y16_74,BG	14 	12 	25 
PC_IND,I_IUWIKI,F_Y16_74,CY	30 	31 	47 
PC_IND,I_IUWIKI,F_Y16_74,CZ	20 	31 	38 
PC_IND,I_IUWIKI,F_Y16_74,DE	55 	59 	63 
PC_IND,I_IUWIKI,F_Y16_74,DK	47 	54 	58 
PC_IND,I_IUWIKI,F_Y16_74,EA	40 	46 	44 
PC_IND,I_IUWIKI,F_Y16_74,EE	40 	45 	54 
PC_IND,I_IUWIKI,F_Y16_74,EL	25 	31 	33 
PC_IND,I_IUWIKI,F_Y16_74,ES	37 	43 	52 
PC_IND,I_IUWIKI,F_Y16_74,EU27_2007	37 	42 	43 
PC_IND,I_IUWIKI,F_Y16_74,EU27_2020	36 	42 	42 
PC_IND,I_IUWIKI,F_Y16_74,EU28	37 	42 	43 
PC_IND,I_IUWIKI,F_Y16_74,FI	61 	68 	70 
PC_IND,I_IUWIKI,F_Y16_74,FR	39 	49 	23 
PC_IND,I_IUWIKI,F_Y16_74,HR	18 	31 	41 
PC_IND,I_IUWIKI,F_Y16_74,HU	28 	28 	42 
PC_IND,I_IUWIKI,F_Y16_74,IE	21 	25 	23 
PC_IND,I_IUWIKI,F_Y16_74,IS	45 	57 	: 
PC_IND,I_IUWIKI,F_Y16_74,IT	27 	32 	36 
PC_IND,I_IUWIKI,F_Y16_74,LT	26 	31 	34 
PC_IND,I_IUWIKI,F_Y16_74,LU	63 	71 	77 
PC_IND,I_IUWIKI,F_Y16_74,LV	30 	24 	25 
PC_IND,I_IUWIKI,F_Y16_74,MK	: 	16 	27 
PC_IND,I_IUWIKI,F_Y16_74,MT	37 	34 	46 
PC_IND,I_IUWIKI,F_Y16_74,NL	48 	57 	53 
PC_IND,I_IUWIKI,F_Y16_74,NO	64 	70 	73 
PC_IND,I_IUWIKI,F_Y16_74,PL	28 	30 	31 
PC_IND,I_IUWIKI,F_Y16_74,PT	31 	34 	39 
PC_IND,I_IUWIKI,F_Y16_74,RO	15 	14 	17 
PC_IND,I_IUWIKI,F_Y16_74,RS	: 	: 	42 
PC_IND,I_IUWIKI,F_Y16_74,SE	54 	66 	60 
PC_IND,I_IUWIKI,F_Y16_74,SI	36 	39 	39 
PC_IND,I_IUWIKI,F_Y16_74,SK	29 	29 	35 
PC_IND,I_IUWIKI,F_Y16_74,TR	: 	11 	20 
PC_IND,I_IUWIKI,F_Y16_74,UK	37 	42 	50 
PC_IND,I_IUWIKI,I0_2,AT	36 	34 	29 
PC_IND,I_IUWIKI,I0_2,BE	17 	19 	25 
PC_IND,I_IUWIKI,I0_2,BG	5 	3 	9 
PC_IND,I_IUWIKI,I0_2,CY	16 	16 	20 
PC_IND,I_IUWIKI,I0_2,CZ	23 	31 	36 
PC_IND,I_IUWIKI,I0_2,DE	48 	50 	56 
PC_IND,I_IUWIKI,I0_2,DK	45 	57 	: u
PC_IND,I_IUWIKI,I0_2,EA	23 	27 	28 
PC_IND,I_IUWIKI,I0_2,EE	36 	38 	46 
PC_IND,I_IUWIKI,I0_2,EL	6 	11 	11 
PC_IND,I_IUWIKI,I0_2,ES	17 	22 	29 
PC_IND,I_IUWIKI,I0_2,EU27_2007	22 	26 	26 
PC_IND,I_IUWIKI,I0_2,EU27_2020	22 	26 	27 
PC_IND,I_IUWIKI,I0_2,EU28	22 	25 	26 
PC_IND,I_IUWIKI,I0_2,FI	49 	58 	59 
PC_IND,I_IUWIKI,I0_2,FR	23 	31 	15 
PC_IND,I_IUWIKI,I0_2,HR	11 	14 	17 
PC_IND,I_IUWIKI,I0_2,HU	17 	14 	22 
PC_IND,I_IUWIKI,I0_2,IE	7 	10 	11 
PC_IND,I_IUWIKI,I0_2,IS	42 	50 	: 
PC_IND,I_IUWIKI,I0_2,IT	14 	17 	20 
PC_IND,I_IUWIKI,I0_2,LT	24 	29 	29 
PC_IND,I_IUWIKI,I0_2,LU	53 	46 	72 
PC_IND,I_IUWIKI,I0_2,LV	26 	22 	23 
PC_IND,I_IUWIKI,I0_2,MK	: 	7 	10 
PC_IND,I_IUWIKI,I0_2,MT	19 	16 	23 
PC_IND,I_IUWIKI,I0_2,NL	32 	41 	35 
PC_IND,I_IUWIKI,I0_2,NO	64 	62 	59 
PC_IND,I_IUWIKI,I0_2,PL	24 	21 	27 
PC_IND,I_IUWIKI,I0_2,PT	16 	18 	20 
PC_IND,I_IUWIKI,I0_2,RO	7 	7 	8 
PC_IND,I_IUWIKI,I0_2,RS	: 	: 	23 
PC_IND,I_IUWIKI,I0_2,SE	44 	54 	47 
PC_IND,I_IUWIKI,I0_2,SI	16 	23 	23 
PC_IND,I_IUWIKI,I0_2,SK	36 	28 	34 
PC_IND,I_IUWIKI,I0_2,TR	: 	6 	11 
PC_IND,I_IUWIKI,I0_2,UK	9 	13 	17 
PC_IND,I_IUWIKI,I3_4,AT	52 	54 	53 
PC_IND,I_IUWIKI,I3_4,BE	29 	34 	41 
PC_IND,I_IUWIKI,I3_4,BG	12 	10 	20 
PC_IND,I_IUWIKI,I3_4,CY	25 	24 	42 
PC_IND,I_IUWIKI,I3_4,CZ	15 	26 	30 
PC_IND,I_IUWIKI,I3_4,DE	54 	59 	63 
PC_IND,I_IUWIKI,I3_4,DK	43 	43 	: u
PC_IND,I_IUWIKI,I3_4,EA	45 	52 	49 
PC_IND,I_IUWIKI,I3_4,EE	36 	38 	49 
PC_IND,I_IUWIKI,I3_4,EL	29 	34 	37 
PC_IND,I_IUWIKI,I3_4,ES	47 	55 	63 
PC_IND,I_IUWIKI,I3_4,EU27_2007	38 	43 	44 
PC_IND,I_IUWIKI,I3_4,EU27_2020	38 	43 	42 
PC_IND,I_IUWIKI,I3_4,EU28	37 	43 	44 
PC_IND,I_IUWIKI,I3_4,FI	60 	66 	68 
PC_IND,I_IUWIKI,I3_4,FR	37 	51 	24 
PC_IND,I_IUWIKI,I3_4,HR	24 	37 	51 
PC_IND,I_IUWIKI,I3_4,HU	26 	27 	42 
PC_IND,I_IUWIKI,I3_4,IE	23 	24 	24 
PC_IND,I_IUWIKI,I3_4,IS	47 	57 	: 
PC_IND,I_IUWIKI,I3_4,IT	40 	47 	47 
PC_IND,I_IUWIKI,I3_4,LT	16 	19 	21 
PC_IND,I_IUWIKI,I3_4,LU	62 	76 	79 
PC_IND,I_IUWIKI,I3_4,LV	23 	18 	16 
PC_IND,I_IUWIKI,I3_4,MK	: 	20 	28 
PC_IND,I_IUWIKI,I3_4,MT	59 	48 	66 
PC_IND,I_IUWIKI,I3_4,NL	53 	62 	57 
PC_IND,I_IUWIKI,I3_4,NO	61 	60 	64 
PC_IND,I_IUWIKI,I3_4,PL	20 	21 	22 
PC_IND,I_IUWIKI,I3_4,PT	60 	60 	64 
PC_IND,I_IUWIKI,I3_4,RO	13 	12 	15 
PC_IND,I_IUWIKI,I3_4,RS	: 	: 	45 
PC_IND,I_IUWIKI,I3_4,SE	55 	64 	59 
PC_IND,I_IUWIKI,I3_4,SI	31 	36 	33 
PC_IND,I_IUWIKI,I3_4,SK	23 	22 	29 
PC_IND,I_IUWIKI,I3_4,TR	: 	27 	41 
PC_IND,I_IUWIKI,I3_4,UK	37 	44 	53 
PC_IND,I_IUWIKI,I5_8,AT	75 	79 	78 
PC_IND,I_IUWIKI,I5_8,BE	49 	58 	64 
PC_IND,I_IUWIKI,I5_8,BG	32 	28 	49 
PC_IND,I_IUWIKI,I5_8,CY	55 	53 	69 
PC_IND,I_IUWIKI,I5_8,CZ	40 	56 	66 
PC_IND,I_IUWIKI,I5_8,DE	76 	80 	82 
PC_IND,I_IUWIKI,I5_8,DK	67 	76 	: u
PC_IND,I_IUWIKI,I5_8,EA	66 	73 	67 
PC_IND,I_IUWIKI,I5_8,EE	51 	60 	66 
PC_IND,I_IUWIKI,I5_8,EL	53 	57 	54 
PC_IND,I_IUWIKI,I5_8,ES	64 	70 	78 
PC_IND,I_IUWIKI,I5_8,EU27_2007	63 	68 	66 
PC_IND,I_IUWIKI,I5_8,EU27_2020	63 	69 	65 
PC_IND,I_IUWIKI,I5_8,EU28	63 	68 	66 
PC_IND,I_IUWIKI,I5_8,FI	77 	83 	84 
PC_IND,I_IUWIKI,I5_8,FR	66 	77 	42 
PC_IND,I_IUWIKI,I5_8,HR	37 	60 	68 
PC_IND,I_IUWIKI,I5_8,HU	52 	52 	69 
PC_IND,I_IUWIKI,I5_8,IE	38 	46 	43 
PC_IND,I_IUWIKI,I5_8,IS	74 	81 	: 
PC_IND,I_IUWIKI,I5_8,IT	57 	63 	66 
PC_IND,I_IUWIKI,I5_8,LT	42 	50 	53 
PC_IND,I_IUWIKI,I5_8,LU	82 	84 	87 
PC_IND,I_IUWIKI,I5_8,LV	45 	37 	34 
PC_IND,I_IUWIKI,I5_8,MK	: 	36 	57 
PC_IND,I_IUWIKI,I5_8,MT	76 	70 	71 
PC_IND,I_IUWIKI,I5_8,NL	74 	83 	81 
PC_IND,I_IUWIKI,I5_8,NO	85 	84 	86 
PC_IND,I_IUWIKI,I5_8,PL	53 	58 	54 
PC_IND,I_IUWIKI,I5_8,PT	75 	77 	82 
PC_IND,I_IUWIKI,I5_8,RO	46 	39 	44 
PC_IND,I_IUWIKI,I5_8,RS	: 	: 	63 
PC_IND,I_IUWIKI,I5_8,SE	73 	82 	74 
PC_IND,I_IUWIKI,I5_8,SI	64 	73 	65 
PC_IND,I_IUWIKI,I5_8,SK	50 	50 	60 
PC_IND,I_IUWIKI,I5_8,TR	: 	48 	63 
PC_IND,I_IUWIKI,I5_8,UK	62 	63 	69 
PC_IND,I_IUWIKI,IND_TOTAL,AT	53 	55 	57 
PC_IND,I_IUWIKI,IND_TOTAL,BE	31 	37 	43 
PC_IND,I_IUWIKI,IND_TOTAL,BG	15 	12 	24 
PC_IND,I_IUWIKI,IND_TOTAL,CY	31 	31 	44 
PC_IND,I_IUWIKI,IND_TOTAL,CZ	20 	31 	37 
PC_IND,I_IUWIKI,IND_TOTAL,DE	58 	62 	66 
PC_IND,I_IUWIKI,IND_TOTAL,DK	50 	56 	61 
PC_IND,I_IUWIKI,IND_TOTAL,EA	42 	49 	47 
PC_IND,I_IUWIKI,IND_TOTAL,EE	41 	45 	55 
PC_IND,I_IUWIKI,IND_TOTAL,EL	27 	32 	34 
PC_IND,I_IUWIKI,IND_TOTAL,ES	38 	44 	53 
PC_IND,I_IUWIKI,IND_TOTAL,EU27_2007	39 	44 	45 
PC_IND,I_IUWIKI,IND_TOTAL,EU27_2020	38 	44 	44 
PC_IND,I_IUWIKI,IND_TOTAL,EU28	38 	44 	45 
PC_IND,I_IUWIKI,IND_TOTAL,FI	63 	70 	71 
PC_IND,I_IUWIKI,IND_TOTAL,FR	39 	51 	27 
PC_IND,I_IUWIKI,IND_TOTAL,HR	21 	35 	46 
PC_IND,I_IUWIKI,IND_TOTAL,HU	29 	29 	44 
PC_IND,I_IUWIKI,IND_TOTAL,IE	22 	27 	26 
PC_IND,I_IUWIKI,IND_TOTAL,IS	51 	62 	: 
PC_IND,I_IUWIKI,IND_TOTAL,IT	29 	35 	38 
PC_IND,I_IUWIKI,IND_TOTAL,LT	25 	30 	33 
PC_IND,I_IUWIKI,IND_TOTAL,LU	67 	75 	79 
PC_IND,I_IUWIKI,IND_TOTAL,LV	29 	24 	22 
