projection,unit,sex,age,geo\time	2019 	2020 	2030 	2040 	2050 	2060 	2070 	2080 	2090 	2100 
BSL,PER,F,TOTAL,AT	4501742 	4525366 	4651429 	4723790 	4751156 	4716644 	4680090 	4666023 	4652400 	4658925 
BSL,PER,F,TOTAL,BE	5810693 	5834299 	5951166 	6026313 	6046029 	6012730 	5992062 	5988884 	5982881 	5989523 
BSL,PER,F,TOTAL,BG	3604338 	3580790 	3326907 	3092349 	2892307 	2717964 	2561134 	2444455 	2387349 	2380965 
BSL,PER,F,TOTAL,CH	4307406 	4326343 	4577736 	4817287 	5033318 	5218453 	5404238 	5612191 	5832563 	6078304 
BSL,PER,F,TOTAL,CY	448068 	453106 	495813 	525302 	545595 	562622 	576617 	583031 	583116 	583171 
BSL,PER,F,TOTAL,CZ	5405606 	5420546 	5422777 	5328435 	5256737 	5192196 	5085303 	5013765 	5018547 	5072050 
BSL,PER,F,TOTAL,DE	42052522 	42116527 	42349677 	42289904 	42092941 	41610779 	41440080 	41581253 	41770912 	42150384 
BSL,PER,F,TOTAL,DK	2917008 	2919618 	2993824 	3039441 	3058278 	3068805 	3081411 	3105618 	3122038 	3135862 
BSL,PER,F,TOTAL,EA19	174864934 	175310270 	177224712 	177700504 	176388625 	173112027 	169968959 	168194190 	167372661 	167185481 
BSL,PER,F,TOTAL,EE	699185 	700062 	679042 	657493 	637884 	617527 	599940 	585416 	575571 	573726 
BSL,PER,F,TOTAL,EL	5516306 	5496181 	5271878 	5055604 	4818115 	4541853 	4281661 	4112522 	4044546 	4024402 
BSL,PER,F,TOTAL,ES	23927801 	24131741 	24956985 	25397718 	25476110 	25020922 	24327364 	23821873 	23624932 	23470966 
BSL,PER,F,TOTAL,EU27_2020	228586686 	228947294 	229498672 	228343334 	225318935 	220424228 	215655470 	212489618 	210852852 	210461140 
BSL,PER,F,TOTAL,FI	2794629 	2797356 	2784572 	2732248 	2652960 	2574468 	2516278 	2460261 	2401327 	2357881 
BSL,PER,F,TOTAL,FR	34626376 	34731707 	35616052 	36276797 	36404961 	36198393 	35998048 	35896790 	35835027 	35840753 
BSL,PER,F,TOTAL,HR	2103674 	2085331 	1949170 	1833323 	1713334 	1605226 	1520147 	1453694 	1410011 	1387670 
BSL,PER,F,TOTAL,HU	5096935 	5089082 	4964712 	4832600 	4706408 	4605040 	4489004 	4402999 	4365550 	4360404 
BSL,PER,F,TOTAL,IE	2475359 	2506419 	2788867 	3005979 	3174422 	3278689 	3333994 	3360216 	3380895 	3385937 
BSL,PER,F,TOTAL,IS	174154 	177114 	200166 	218658 	234505 	249053 	263512 	277177 	289891 	302697 
BSL,PER,F,TOTAL,IT	30974780 	30904664 	30540248 	30145545 	29421076 	28215126 	27000353 	26292253 	25914622 	25651506 
BSL,PER,F,TOTAL,LI	19353 	19481 	20611 	21398 	21877 	22137 	22467 	23025 	23726 	24641 
BSL,PER,F,TOTAL,LT	1498593 	1490352 	1349024 	1211937 	1091027 	982719 	904419 	857005 	829879 	825971 
