citizen,age,unit,sex,geo\time	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
FOR_STLS,TOTAL,NR,T,AT	855557 	879102 	908591 	946610 	999095 	1060446 	1139736 	1260188 	1333239 	1385823 	1427105 	1473453 
FOR_STLS,TOTAL,NR,T,BE	1009055 p	1052844 p	1162608 b	1197598 	1222741 	1237696 	1272751 	1327421 	1346358 	1366070 	1400238 	1437580 
FOR_STLS,TOTAL,NR,T,BG	37132 	38002 	38815 	39432 	45201 	54422 	65622 	73822 	79395 	85895 	95775 	106514 
FOR_STLS,TOTAL,NR,T,CH	1669715 	1714004 	1765750 b	1815063 	1869070 	1936412 	1997179 	2047200 	2099319 	2124540 	2146381 	2173429 
FOR_STLS,TOTAL,NR,T,CY	124649 	163102 	167783 	172427 	170076 	159336 	144599 	139606 	140384 	149168 	155610 	161005 
FOR_STLS,TOTAL,NR,T,CZ	407541 	424419 	416737 	422966 	422280 	434581 	457323 	476345 	510841 	515422 	557458 	586646 
FOR_STLS,TOTAL,NR,T,DE	7185921 	7130919 	6107216 	6342394 	6643699 	7015236 	7539774 	8651958 	9219989 	9678868 	10089292 	10398022 
FOR_STLS,TOTAL,NR,T,DK	320033 	329797 	345884 	358714 	374569 	397221 	422492 	463088 	484934 	505934 	525849 	537071 
FOR_STLS,TOTAL,NR,T,EE	214437 	212659 	208038 b	206558 	197141 	194917 	197611 b	197638 	196344 	197160 	199158 	199674 
FOR_STLS,TOTAL,NR,T,EL	927584 	931424 	934395 	921447 	886450 	854998 	821969 	798357 	810034 	816059 	831692 	906345 
FOR_STLS,TOTAL,NR,T,ES	5386659 	5402575 	5312439 	5236030 	5072680 	4677059 	4454354 	4417517 	4419621 	4562962 	4840207 	5226906 
FOR_STLS,TOTAL,NR,T,FI	142288 	154623 	166627 	181697 	194250 	206651 	218803 	228224 	242003 	247848 	256026 	266079 
FOR_STLS,TOTAL,NR,T,FR	3750406 	3824590 	3875096 	3944725 b	4092106 	4227226 b	4431376 	4544793 	4605669 	4950717 	4995356 p	5137398 p
FOR_STLS,TOTAL,NR,T,HR	: 	: 	: 	: 	27854 	31704 	36679 	40926 	45951 	51995 	66473 	86765 
FOR_STLS,TOTAL,NR,T,HU	186365 	200005 	209202 	143125 	141122 	140301 	145727 	156366 	150885 	161549 	180525 	199707 
FOR_STLS,TOTAL,NR,T,IE	579770 	570190 	560478 	551314 b	537183 	529055 	532196 	546050 	564884 	578782 	612011 e	643406 
FOR_STLS,TOTAL,NR,T,IS	24379 	21701 	21143 	20957 	21446 	22744 	24294 	26485 	30275 	37830 	44269 	49391 
FOR_STLS,TOTAL,NR,T,IT	3402435 	3648128 	3879224 	4052081 	4387721 	4922085 	5014437 	5026153 	5047028 	5144440 	4996158 b	5039637 
FOR_STLS,TOTAL,NR,T,LI	11770 	11886 	12004 	12144 	12337 	12519 	12579 	12775 	12795 	12941 	13057 	13262 
FOR_STLS,TOTAL,NR,T,LT	30907 	27318 	24031 	22865 	22224 	21577 	22470 	18682 	20117 	27344 	47186 	65819 
FOR_STLS,TOTAL,NR,T,LU	214848 	215699 	220705 	229870 	238844 	248914 	258679 	269175 	281246 b	288009 	291265 	296276 
FOR_STLS,TOTAL,NR,T,LV	382704 	362378 	342799 	324288 	315414 	304835 	298433 	288946 	279446 	272531 	266625 	260405 
FOR_STLS,TOTAL,NR,T,ME	: 	: 	44324 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR_STLS,TOTAL,NR,T,MT	16791 	18952 	19139 	20302 	23611 	29020 	37823 	46935 	54321 	67145 	83267 	103180 
FOR_STLS,TOTAL,NR,T,NL	637136 	652188 	673235 	697741 	714552 	735354 	773288 	834786 	914997 	991440 	1068107 	1154830 
FOR_STLS,TOTAL,NR,T,NO	302908 	331618 	368475 	409193 	457396 	482054 	512279 	534310 	559059 	567594 	584062 	604362 
FOR_STLS,TOTAL,NR,T,PL	: 	75210 	79338 p	85829 p	93265 	101204 p	108279 p	149586 ep	210328 ep	239230 ep	289751 	358239 ep
FOR_STLS,TOTAL,NR,T,PT	440277 	454191 	445262 	436822 	417042 	401320 	395195 	388731 	397731 	421711 	480300 	590348 
FOR_STLS,TOTAL,NR,T,RO	: 	: 	: 	73706 p	70666 	73434 	88771 	107187 	114337 	114292 	121099 	139775 e
FOR_STLS,TOTAL,NR,T,SE	547664 	590475 	622275 	646095 	659374 	687192 	731215 	773232 	841165 	885839 	920144 	927774 
FOR_STLS,TOTAL,NR,T,SI	70554 b	82176 	82746 	85555 	91385 	96608 	101532 	107766 	114438 	121875 	138193 	156351 
FOR_STLS,TOTAL,NR,T,SK	61361 b	65894 	69607 	70727 	72925 	59151 	61766 	65840 	69695 	72883 	76116 	78936 
FOR_STLS,TOTAL,NR,T,UK	4244092 	4435587 	4546862 	4884405 	4978600 	5049401 	5419192 	5639712 	6073524 	6285974 	6171948 	: 
