citizen,agedef,age,unit,sex,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
TOTAL,COMPLET,TOTAL,NR,T,AT	51563 	53244 	51651 	51197 	51812 	54071 	53491 	56689 	64428 	66144 	67212 	68280 
TOTAL,COMPLET,TOTAL,NR,T,BE	: 	: 	66013 b	84148 b	93600 	102657 	94573 	89794 	92471 	89690 	88935 	102936 
TOTAL,COMPLET,TOTAL,NR,T,BG	: 	: 	: 	: 	16615 bp	19678 p	28727 p	29470 p	30570 	31586 p	33225 p	39941 p
TOTAL,COMPLET,TOTAL,NR,T,CH	86130 	86036 	96839 	96494 b	103881 	106196 	111103 	116631 	120653 	124997 	130225 	126221 
TOTAL,COMPLET,TOTAL,NR,T,CY	4474 	4797 b	4293 	4895 	18105 	25227 	24038 	17183 	14892 	15105 	15340 	17373 
TOTAL,COMPLET,TOTAL,NR,T,CZ	51478 b	61782 	61069 	55910 b	46106 	25894 b	28468 	25684 	38864 	27316 	26742 	77798 
TOTAL,COMPLET,TOTAL,NR,T,DE	737889 	286582 b	252456 	249045 	240001 	259328 	324221 e	338403 e	533762 be	560700 be	540415 e	576319 be
TOTAL,COMPLET,TOTAL,NR,T,DK	38356 b	39899 	41456 	41593 	43663 	43310 	44426 	44625 	52654 	56403 	60381 	66520 
TOTAL,COMPLET,TOTAL,NR,T,EE	4406 	4658 	5294 	6214 	6321 	6740 	4637 	13003 b	13792 	12358 	10476 	12801 
TOTAL,COMPLET,TOTAL,NR,T,EL	43044 b	43686 	62041 b	92404 	124694 	117094 	106804 b	109351 	106535 	103327 	103049 	95020 
TOTAL,COMPLET,TOTAL,NR,T,ES	288432 b	380121 	403377 	409034 	446606 	532303 	400430 	343875 	327325 	368860 	309526 	296248 
TOTAL,COMPLET,TOTAL,NR,T,FI	13657 	12151 	11905 	12660 	13845 	13893 	15486 	16305 	18082 	16973 	19141 	17263 
TOTAL,COMPLET,TOTAL,NR,T,FR	239796 	264631 	269531 b	291594 	255922 	239813 	308103 	324517 	313622 	215470 	300668 p	299101 p
TOTAL,COMPLET,TOTAL,NR,T,HR	10638 b	12355 	13017 	12699 	12877 	15262 	20858 	29651 	36436 	47352 	39515 	40148 
TOTAL,COMPLET,TOTAL,NR,T,HU	9591 b	10483 	13365 b	15100 	22880 	34691 	42213 	43225 	39889 	39829 	48178 	49795 
TOTAL,COMPLET,TOTAL,NR,T,IE	65934 	69672 	78099 	83049 b	81797 	76560 	71107 	67160 	62056 	64068 	53735 	62004 
TOTAL,COMPLET,TOTAL,NR,T,IS	9144 	6874 b	5459 	4812 	4758 	4372 	4052 	4046 	4159 	3641 	4372 	4590 
TOTAL,COMPLET,TOTAL,NR,T,IT	80947 	80597 	78771 	82461 	106216 	125735 	136328 	146955 	157065 	155110 	156960 	179505 
TOTAL,COMPLET,TOTAL,NR,T,LI	490 b	455 	428 	467 	439 	497 	476 	468 	522 	426 	484 	446 
TOTAL,COMPLET,TOTAL,NR,T,LT	25750 	38500 	83157 	53863 	41100 	38818 	36621 	44533 	50333 	47925 	32206 	29273 
TOTAL,COMPLET,TOTAL,NR,T,LU	10058 	9168 	9302 	9264 	10442 	10750 	11283 	12644 	13442 	13831 	13985 	15593 
TOTAL,COMPLET,TOTAL,NR,T,LV	27045 	38208 	39651 	30311 	25163 	22561 	19017 	20119 	20574 	17724 	15814 	14583 
TOTAL,COMPLET,TOTAL,NR,T,MK	751 	792 	1007 	1290 	1415 	1041 	839 	1016 	630 	424 	377 	798 
TOTAL,COMPLET,TOTAL,NR,T,MT	3719 	3868 	4201 	3806 	4005 	4778 	5108 	7095 	8303 	7020 	9342 	7998 
TOTAL,COMPLET,TOTAL,NR,T,NL	90067 	92825 b	95970 	104201 	110431 	112625 	112900 	112330 	111477 	108231 	109635 	107906 
TOTAL,COMPLET,TOTAL,NR,T,NO	12976 b	17072 	25835 	20349 	22693 	26523 	29308 	29173 	34694 	31963 	27158 	23207 
TOTAL,COMPLET,TOTAL,NR,T,PL	30140 	229320 b	218126 	265798 	275603 	276446 	268299 p	258837 p	236441 ep	218492 ep	189794 ep	180594 ep
TOTAL,COMPLET,TOTAL,NR,T,PT	20357 	16899 	23760 	43998 	51958 	53786 	49572 	40377 	38273 e	31753 e	31600 	28219 
TOTAL,COMPLET,TOTAL,NR,T,RO	302796 b	246626 	197985 	195551 	170186 	161755 	172871 	194718 	207578 	242193 e	231661 e	233736 e
TOTAL,COMPLET,TOTAL,NR,T,SE	45294 	39240 	48853 	51179 	51747 	50715 	51237 	55830 	45878 	45620 	46981 	47718 
TOTAL,COMPLET,TOTAL,NR,T,SI	12109 b	18788 	15937 	12024 	14378 	13384 	14336 	14913 	15572 	17555 	13527 	15106 
TOTAL,COMPLET,TOTAL,NR,T,SK	1705 	1979 	1889 	1863 	2003 	2770 	3644 	3870 	3801 	3466 	3298 	3384 
TOTAL,COMPLET,TOTAL,NR,T,UK	427207 b	368177 	339306 	350703 	321217 	316934 	319086 	299183 	340440 	359665 	344347 p	368385 
TOTAL,REACH,TOTAL,NR,T,AT	51563 	53244 	51651 	51197 	51812 	54071 	53491 	56689 	64428 	66144 	67212 	68280 
TOTAL,REACH,TOTAL,NR,T,BE	: 	: 	66013 b	84148 b	93600 	102657 	94573 	89794 	92471 	89690 	88935 	102936 
TOTAL,REACH,TOTAL,NR,T,BG	: 	: 	: 	: 	16615 bp	19678 p	28727 p	29470 p	30570 p	31586 p	33225 p	39941 p
TOTAL,REACH,TOTAL,NR,T,CH	86130 	86036 	96839 	96494 b	103881 	106196 	111103 	116631 	120653 	124997 	130225 	126221 
TOTAL,REACH,TOTAL,NR,T,CY	4474 	4797 b	4293 	4895 	18105 	25227 	24038 	17183 	14892 	15105 	15340 	17373 
TOTAL,REACH,TOTAL,NR,T,CZ	51478 b	61782 	61069 	55910 b	46106 	25894 b	28468 	25684 	38864 	27316 	26742 	77798 
TOTAL,REACH,TOTAL,NR,T,DE	737889 	286582 b	252456 	249045 	240001 	259328 	324221 e	338403 e	533762 be	560700 be	540415 e	576319 be
TOTAL,REACH,TOTAL,NR,T,DK	38356 b	39899 	41456 	41593 	43663 	43310 	44426 	44625 	52654 	56403 	60381 	66520 
TOTAL,REACH,TOTAL,NR,T,EE	4406 	4658 	5294 	6214 	6321 	6740 	4637 	13003 b	13792 	12358 	10476 	12801 
TOTAL,REACH,TOTAL,NR,T,EL	43044 b	43686 	62041 b	92404 	124694 	117094 	106804 b	109351 	106535 	103327 	103049 	95020 
TOTAL,REACH,TOTAL,NR,T,ES	288432 b	380121 	403377 	409034 	446606 	532303 	400430 	343875 	327325 	368860 	309526 	296248 
TOTAL,REACH,TOTAL,NR,T,FI	13657 	12151 	11905 	12660 	13845 	13893 	15486 	16305 	18082 	16973 	19141 	17263 
TOTAL,REACH,TOTAL,NR,T,FR	239796 	264631 	269531 b	291594 	255922 	239813 	308103 	324517 	313622 	215470 	300668 p	299101 p
TOTAL,REACH,TOTAL,NR,T,HR	10638 b	12355 	13017 	12699 	12877 	15262 	20858 	29651 	36436 	47352 	39515 	40148 
TOTAL,REACH,TOTAL,NR,T,HU	9591 b	10483 	13365 b	15100 	22880 	34691 	42213 	43225 	39889 	39829 	48178 	49795 
TOTAL,REACH,TOTAL,NR,T,IE	65934 	69672 	78099 	83049 b	81797 	76560 	71107 	67160 	62056 	64068 	53735 	62004 
TOTAL,REACH,TOTAL,NR,T,IS	9144 	6874 b	5459 	4812 	4758 	4372 	4052 	4046 	4159 	3641 	4372 	4590 
TOTAL,REACH,TOTAL,NR,T,IT	80947 	80597 	78771 	82461 	106216 	125735 	136328 	146955 	157065 	155110 	156960 	179505 
TOTAL,REACH,TOTAL,NR,T,LI	490 b	455 	428 	467 	439 	497 	476 	468 	522 	426 	484 	446 
TOTAL,REACH,TOTAL,NR,T,LT	25750 	38500 	83157 	53863 	41100 	38818 	36621 	44533 	50333 	47925 	32206 	29273 
TOTAL,REACH,TOTAL,NR,T,LU	10058 	9168 	9302 	9264 	10442 	10750 	11283 	12644 	13442 	13831 	13985 	15593 
TOTAL,REACH,TOTAL,NR,T,LV	27045 	38208 	39651 	30311 	25163 	22561 	19017 	20119 	20574 	17724 	15814 	14583 
TOTAL,REACH,TOTAL,NR,T,MK	751 	792 	1007 	1290 	1415 	1041 	839 	1016 	630 	424 	377 	798 
TOTAL,REACH,TOTAL,NR,T,MT	3719 	3868 	4201 	3806 	4005 	4778 	5108 	7095 	8303 	7020 	9342 	7998 
TOTAL,REACH,TOTAL,NR,T,NL	90067 	92825 b	95970 	104201 	110431 	112625 	112900 	112330 	111477 	108231 	109635 	107906 
TOTAL,REACH,TOTAL,NR,T,NO	12976 b	17072 	25835 	20349 	22693 	26523 	29308 	29173 	34694 	31963 	27158 	23207 
TOTAL,REACH,TOTAL,NR,T,PL	30140 	229320 b	218126 	265798 	275603 	276446 	268299 p	258837 p	236441 ep	218492 ep	189794 ep	180594 ep
TOTAL,REACH,TOTAL,NR,T,PT	20357 	16899 	23760 	43998 	51958 	53786 	49572 	40377 	38273 e	31753 e	31600 	28219 
TOTAL,REACH,TOTAL,NR,T,RO	302796 b	246626 	197985 	195551 	170186 	161755 	172871 	194718 	207578 	242193 e	231661 e	233736 e
TOTAL,REACH,TOTAL,NR,T,SE	45294 	39240 	48853 	51179 	51747 	50715 	51237 	55830 	45878 	45620 	46981 	47718 
TOTAL,REACH,TOTAL,NR,T,SI	12109 b	18788 	15937 	12024 	14378 	13384 	14336 	14913 	15572 	17555 	13527 	15106 
TOTAL,REACH,TOTAL,NR,T,SK	1705 	1979 	1889 	1863 	2003 	2770 	3644 	3870 	3801 	3466 	3298 	3384 
TOTAL,REACH,TOTAL,NR,T,UK	427207 b	368177 	339306 	350703 	321217 	316934 	319086 	299183 	340440 	359665 	344347 p	368385 
